rows,world,it,time,tag,out
1000,1,0,0.3223419189453125,a=initial u=1.0 c=gloo,1000
1000,1,1,0.11157989501953125,a=initial u=1.0 c=gloo,1000
1000,1,2,0.10752677917480469,a=initial u=1.0 c=gloo,1000
1000,1,3,0.10466575622558594,a=initial u=1.0 c=gloo,1000
1000,4,0,6.726861000061035,a=initial u=1.0 c=gloo,1000
1000,4,1,4.840254783630371,a=initial u=1.0 c=gloo,1000
1000,4,2,4.58216667175293,a=initial u=1.0 c=gloo,1000
1000,4,3,4.823565483093262,a=initial u=1.0 c=gloo,1000
1000000000,1,0,298072.625,a=initial u=0.9 c=gloo,1000000000
1000000000,1,1,299986.1875,a=initial u=0.9 c=gloo,1000000000
1000000000,1,2,301770.25,a=initial u=0.9 c=gloo,1000000000
1000000000,1,3,312723.1875,a=initial u=0.9 c=gloo,1000000000
1000000000,2,0,152800.84375,a=initial u=0.9 c=gloo,1000000000
1000000000,2,1,210163.78125,a=initial u=0.9 c=gloo,1000000000
1000000000,2,2,225418.65625,a=initial u=0.9 c=gloo,1000000000
1000000000,2,3,225336.65625,a=initial u=0.9 c=gloo,1000000000
1000000000,4,0,76680.890625,a=initial u=0.9 c=gloo,1000000000
1000000000,4,1,101994.7578125,a=initial u=0.9 c=gloo,1000000000
1000000000,4,2,110285.171875,a=initial u=0.9 c=gloo,1000000000
1000000000,4,3,113219.140625,a=initial u=0.9 c=gloo,1000000000
1000000000,8,0,36129.49609375,a=initial u=0.9 c=gloo,1000000000
1000000000,8,1,52184.0078125,a=initial u=0.9 c=gloo,1000000000
1000000000,8,2,57859.28515625,a=initial u=0.9 c=gloo,1000000000
1000000000,8,3,56093.1640625,a=initial u=0.9 c=gloo,1000000000
1000000000,16,0,18652.015625,a=initial u=0.9 c=gloo,1000000000
1000000000,16,1,22981.365234375,a=initial u=0.9 c=gloo,1000000000
1000000000,16,2,23308.884765625,a=initial u=0.9 c=gloo,1000000000
1000000000,16,3,23483.921875,a=initial u=0.9 c=gloo,1000000000
1000000000,32,0,11428.3388671875,a=initial u=0.9 c=gloo,1000000000
1000000000,32,1,13089.87109375,a=initial u=0.9 c=gloo,1000000000
1000000000,32,2,13155.2841796875,a=initial u=0.9 c=gloo,1000000000
1000000000,32,3,13329.2392578125,a=initial u=0.9 c=gloo,1000000000
1000000000,64,0,6121.66259765625,a=initial u=0.9 c=gloo,1000000000
1000000000,64,1,6760.45654296875,a=initial u=0.9 c=gloo,1000000000
1000000000,64,2,7144.7607421875,a=initial u=0.9 c=gloo,1000000000
1000000000,64,3,6889.88232421875,a=initial u=0.9 c=gloo,1000000000
1000000000,128,0,4982.408203125,a=initial u=0.9 c=gloo,1000000000
1000000000,128,1,4302.25830078125,a=initial u=0.9 c=gloo,1000000000
1000000000,128,2,4197.8076171875,a=initial u=0.9 c=gloo,1000000000
1000000000,128,3,4313.7490234375,a=initial u=0.9 c=gloo,1000000000
1000000000,256,0,8111.22705078125,a=initial u=0.9 c=gloo,1000000000
1000000000,256,1,4882.40283203125,a=initial u=0.9 c=gloo,1000000000
1000000000,256,2,4793.978515625,a=initial u=0.9 c=gloo,1000000000
1000000000,256,3,3731.750244140625,a=initial u=0.9 c=gloo,1000000000
1000000000,512,0,36334.8671875,a=initial u=0.9 c=gloo,1000000000
1000000000,512,1,7744.8876953125,a=initial u=0.9 c=gloo,1000000000
1000000000,512,2,8122.7431640625,a=initial u=0.9 c=gloo,1000000000
1000000000,512,3,4716.466796875,a=initial u=0.9 c=gloo,1000000000

100000000,1,0,24105.3125,a=initial u=0.9 c=gloo,100000000
100000000,1,1,24201.802734375,a=initial u=0.9 c=gloo,100000000
100000000,1,2,23981.62890625,a=initial u=0.9 c=gloo,100000000
100000000,1,3,23887.412109375,a=initial u=0.9 c=gloo,100000000
100000000,1,4,23563.365234375,a=initial u=0.9 c=gloo,100000000
100000000,1,5,23548.875,a=initial u=0.9 c=gloo,100000000
100000000,2,0,14751.033203125,a=initial u=0.9 c=gloo,100000000
100000000,2,1,16917.943359375,a=initial u=0.9 c=gloo,100000000
100000000,2,2,17718.71875,a=initial u=0.9 c=gloo,100000000
100000000,2,3,16348.8125,a=initial u=0.9 c=gloo,100000000
100000000,2,4,16248.4736328125,a=initial u=0.9 c=gloo,100000000
100000000,2,5,16433.83203125,a=initial u=0.9 c=gloo,100000000
100000000,4,0,6442.87841796875,a=initial u=0.9 c=gloo,100000000
100000000,4,1,7799.6748046875,a=initial u=0.9 c=gloo,100000000
100000000,4,2,7951.7958984375,a=initial u=0.9 c=gloo,100000000
100000000,4,3,7882.703125,a=initial u=0.9 c=gloo,100000000
100000000,4,4,8292.291015625,a=initial u=0.9 c=gloo,100000000
100000000,4,5,7704.9638671875,a=initial u=0.9 c=gloo,100000000
100000000,8,0,3117.249267578125,a=initial u=0.9 c=gloo,100000000
100000000,8,1,3655.646484375,a=initial u=0.9 c=gloo,100000000
100000000,8,2,3738.191650390625,a=initial u=0.9 c=gloo,100000000
100000000,8,3,3685.84033203125,a=initial u=0.9 c=gloo,100000000
100000000,8,4,3640.401611328125,a=initial u=0.9 c=gloo,100000000
100000000,8,5,3613.27783203125,a=initial u=0.9 c=gloo,100000000
100000000,16,0,1789.15576171875,a=initial u=0.9 c=gloo,100000000
100000000,16,1,1858.6090087890625,a=initial u=0.9 c=gloo,100000000
100000000,16,2,1990.9849853515625,a=initial u=0.9 c=gloo,100000000
100000000,16,3,1979.967041015625,a=initial u=0.9 c=gloo,100000000
100000000,16,4,2097.250732421875,a=initial u=0.9 c=gloo,100000000
100000000,16,5,2044.3245849609375,a=initial u=0.9 c=gloo,100000000
100000000,32,0,1265.359130859375,a=initial u=0.9 c=gloo,100000000
100000000,32,1,1361.5438232421875,a=initial u=0.9 c=gloo,100000000
100000000,32,2,1512.7073974609375,a=initial u=0.9 c=gloo,100000000
100000000,32,3,1412.742431640625,a=initial u=0.9 c=gloo,100000000
100000000,32,4,1500.974609375,a=initial u=0.9 c=gloo,100000000
100000000,32,5,1458.42236328125,a=initial u=0.9 c=gloo,100000000
