rows,world,it,time,tag,out
100000,16,0,7.979973793029785,a=hash u=0.9 c=gloo,60337
100000,16,1,9.345621109008789,a=hash u=0.9 c=gloo,60337
1000000000,1,0,192560.0625,a=hash u=0.9 c=ucx,603718874
1000000000,1,1,201941.0,a=hash u=0.9 c=ucx,603718874
1000000000,1,2,202032.5,a=hash u=0.9 c=ucx,603718874
1000000000,1,3,200877.046875,a=hash u=0.9 c=ucx,603718874
1000000000,1,4,200931.421875,a=hash u=0.9 c=ucx,603718874
1000000000,1,5,200487.4375,a=hash u=0.9 c=ucx,603718874
1000000000,1,6,199341.109375,a=hash u=0.9 c=ucx,603718874
1000000000,1,7,201522.078125,a=hash u=0.9 c=ucx,603718874
1000000000,2,0,117115.328125,a=hash u=0.9 c=ucx,603736151
1000000000,2,1,131155.28125,a=hash u=0.9 c=ucx,603736151
1000000000,2,2,138533.3125,a=hash u=0.9 c=ucx,603736151
1000000000,2,3,138220.328125,a=hash u=0.9 c=ucx,603736151
1000000000,2,4,138297.125,a=hash u=0.9 c=ucx,603736151
1000000000,2,5,138491.953125,a=hash u=0.9 c=ucx,603736151
1000000000,2,6,138533.40625,a=hash u=0.9 c=ucx,603736151
1000000000,2,7,140095.15625,a=hash u=0.9 c=ucx,603736151
1000000000,4,0,65849.703125,a=hash u=0.9 c=ucx,603722883
1000000000,4,1,74868.359375,a=hash u=0.9 c=ucx,603722883
1000000000,4,2,78402.421875,a=hash u=0.9 c=ucx,603722883
1000000000,4,3,78532.859375,a=hash u=0.9 c=ucx,603722883
1000000000,4,4,78094.09375,a=hash u=0.9 c=ucx,603722883
1000000000,4,5,78143.671875,a=hash u=0.9 c=ucx,603722883
1000000000,4,6,78060.6015625,a=hash u=0.9 c=ucx,603722883
1000000000,4,7,78323.234375,a=hash u=0.9 c=ucx,603722883
1000000000,8,0,34919.1328125,a=hash u=0.9 c=ucx,603714534
1000000000,8,1,40290.62890625,a=hash u=0.9 c=ucx,603714534
1000000000,8,2,39928.05859375,a=hash u=0.9 c=ucx,603714534
1000000000,8,3,40946.08984375,a=hash u=0.9 c=ucx,603714534
1000000000,8,4,41019.62109375,a=hash u=0.9 c=ucx,603714534
1000000000,8,5,40906.80859375,a=hash u=0.9 c=ucx,603714534
1000000000,8,6,41185.5234375,a=hash u=0.9 c=ucx,603714534
1000000000,8,7,40900.91796875,a=hash u=0.9 c=ucx,603714534
1000000000,16,0,15709.435546875,a=hash u=0.9 c=ucx,603714044
1000000000,16,1,17965.138671875,a=hash u=0.9 c=ucx,603714044
1000000000,16,2,17579.119140625,a=hash u=0.9 c=ucx,603714044
1000000000,16,3,17620.4453125,a=hash u=0.9 c=ucx,603714044
1000000000,16,4,17951.13671875,a=hash u=0.9 c=ucx,603714044
1000000000,16,5,17524.078125,a=hash u=0.9 c=ucx,603714044
1000000000,16,6,17725.67578125,a=hash u=0.9 c=ucx,603714044
1000000000,16,7,17955.47265625,a=hash u=0.9 c=ucx,603714044
1000000000,32,0,7914.9306640625,a=hash u=0.9 c=ucx,603706525
1000000000,32,1,8540.08984375,a=hash u=0.9 c=ucx,603706525
1000000000,32,2,8802.587890625,a=hash u=0.9 c=ucx,603706525
1000000000,32,3,8670.138671875,a=hash u=0.9 c=ucx,603706525
1000000000,32,4,8748.578125,a=hash u=0.9 c=ucx,603706525
1000000000,32,5,8759.9228515625,a=hash u=0.9 c=ucx,603706525
1000000000,32,6,8676.9130859375,a=hash u=0.9 c=ucx,603706525
1000000000,32,7,8894.3232421875,a=hash u=0.9 c=ucx,603706525
1000000000,64,0,4850.0400390625,a=hash u=0.9 c=ucx,603720452
1000000000,64,1,4979.3896484375,a=hash u=0.9 c=ucx,603720452
1000000000,64,2,5213.4375,a=hash u=0.9 c=ucx,603720452
1000000000,64,3,5068.3203125,a=hash u=0.9 c=ucx,603720452
1000000000,64,4,5043.712890625,a=hash u=0.9 c=ucx,603720452
1000000000,64,5,5107.8671875,a=hash u=0.9 c=ucx,603720452
1000000000,64,6,5134.021484375,a=hash u=0.9 c=ucx,603720452
1000000000,64,7,5093.99169921875,a=hash u=0.9 c=ucx,603720452
1000000000,128,0,9905.3701171875,a=hash u=0.9 c=ucx,603734292
1000000000,128,1,2950.737060546875,a=hash u=0.9 c=ucx,603734292
1000000000,128,2,3033.63232421875,a=hash u=0.9 c=ucx,603734292
1000000000,128,3,2987.767822265625,a=hash u=0.9 c=ucx,603734292
