rows,world,it,time,tag,out
1000000000,256,0,17547.673828125,a=sort u=1.0 c=ucx,999966518
1000000000,256,1,2248.135498046875,a=sort u=1.0 c=ucx,999966518
1000000000,256,2,2338.45849609375,a=sort u=1.0 c=ucx,999966518
1000000000,256,3,2366.55615234375,a=sort u=1.0 c=ucx,999966518
1000000000,512,0,7661.7783203125,a=sort u=1.0 c=ucx,999972731
1000000000,512,1,2042.76708984375,a=sort u=1.0 c=ucx,999972731
1000000000,512,2,2152.673828125,a=sort u=1.0 c=ucx,999972731
1000000000,512,3,2238.13427734375,a=sort u=1.0 c=ucx,999972731
1000000000,1,0,325914.21875,a=sort u=1.0 c=ucx,1000059441
1000000000,1,1,362006.0625,a=sort u=1.0 c=ucx,1000059441
1000000000,1,2,357079.28125,a=sort u=1.0 c=ucx,1000059441
1000000000,1,3,370739.28125,a=sort u=1.0 c=ucx,1000059441
1000000000,1,4,371629.0,a=sort u=1.0 c=ucx,1000059441
1000000000,1,5,371522.40625,a=sort u=1.0 c=ucx,1000059441
1000000000,2,0,183676.75,a=sort u=1.0 c=ucx,999990825
1000000000,2,1,202248.84375,a=sort u=1.0 c=ucx,999990825
1000000000,2,2,209508.90625,a=sort u=1.0 c=ucx,999990825
1000000000,2,3,211022.84375,a=sort u=1.0 c=ucx,999990825
1000000000,2,4,209766.1875,a=sort u=1.0 c=ucx,999990825
1000000000,2,5,210394.109375,a=sort u=1.0 c=ucx,999990825
1000000000,4,0,87307.7109375,a=sort u=1.0 c=ucx,999959484
1000000000,4,1,96110.0625,a=sort u=1.0 c=ucx,999959484
1000000000,4,2,98366.359375,a=sort u=1.0 c=ucx,999959484
1000000000,4,3,98271.515625,a=sort u=1.0 c=ucx,999959484
1000000000,4,4,98674.1484375,a=sort u=1.0 c=ucx,999959484
1000000000,4,5,99189.390625,a=sort u=1.0 c=ucx,999959484
1000000000,8,0,42786.3125,a=sort u=1.0 c=ucx,1000017691
1000000000,8,1,45631.1484375,a=sort u=1.0 c=ucx,1000017691
1000000000,8,2,46935.84765625,a=sort u=1.0 c=ucx,1000017691
1000000000,8,3,47107.1796875,a=sort u=1.0 c=ucx,1000017691
1000000000,8,4,47342.72265625,a=sort u=1.0 c=ucx,1000017691
1000000000,8,5,47175.03125,a=sort u=1.0 c=ucx,1000017691
1000000000,16,0,20878.26171875,a=sort u=1.0 c=ucx,999982055
1000000000,16,1,22333.75390625,a=sort u=1.0 c=ucx,999982055
1000000000,16,2,22838.68359375,a=sort u=1.0 c=ucx,999982055
1000000000,16,3,22763.18359375,a=sort u=1.0 c=ucx,999982055
1000000000,16,4,22723.919921875,a=sort u=1.0 c=ucx,999982055
1000000000,16,5,23366.7734375,a=sort u=1.0 c=ucx,999982055
1000000000,32,0,11131.89453125,a=sort u=1.0 c=ucx,1000001536
1000000000,32,1,11925.07421875,a=sort u=1.0 c=ucx,1000001536
1000000000,32,2,11940.01171875,a=sort u=1.0 c=ucx,1000001536
1000000000,32,3,12014.43359375,a=sort u=1.0 c=ucx,1000001536
1000000000,32,4,12131.1494140625,a=sort u=1.0 c=ucx,1000001536
1000000000,32,5,11960.2919921875,a=sort u=1.0 c=ucx,1000001536
1000000000,64,0,6181.6103515625,a=sort u=1.0 c=ucx,1000026505
1000000000,64,1,6515.5576171875,a=sort u=1.0 c=ucx,1000026505
1000000000,64,2,6455.71484375,a=sort u=1.0 c=ucx,1000026505
1000000000,64,3,6465.70849609375,a=sort u=1.0 c=ucx,1000026505
1000000000,64,4,6540.61962890625,a=sort u=1.0 c=ucx,1000026505
1000000000,64,5,6485.79296875,a=sort u=1.0 c=ucx,1000026505
1000000000,128,0,4081.145751953125,a=sort u=1.0 c=ucx,1000008923
1000000000,128,1,3654.725341796875,a=sort u=1.0 c=ucx,1000008923
1000000000,128,2,3744.960693359375,a=sort u=1.0 c=ucx,1000008923
1000000000,128,3,3770.20458984375,a=sort u=1.0 c=ucx,1000008923
1000000000,128,4,3761.1376953125,a=sort u=1.0 c=ucx,1000008923
