rows,world,it,time,tag,out
1000,1,0,0.28395652770996094,a=initial u=0.9 c=gloo,1000
1000,1,1,0.10848045349121094,a=initial u=0.9 c=gloo,1000
1000,1,2,0.10418891906738281,a=initial u=0.9 c=gloo,1000
1000,1,3,0.10275840759277344,a=initial u=0.9 c=gloo,1000
1000,1,4,0.10347366333007812,a=initial u=0.9 c=gloo,1000
1000,1,5,0.10442733764648438,a=initial u=0.9 c=gloo,1000
1000,1,6,0.10228157043457031,a=initial u=0.9 c=gloo,1000
1000,1,7,0.102996826171875,a=initial u=0.9 c=gloo,1000
1000,4,0,5.626380443572998,a=initial u=0.9 c=gloo,1000
1000,4,1,4.7005414962768555,a=initial u=0.9 c=gloo,1000
1000,4,2,5.784928798675537,a=initial u=0.9 c=gloo,1000
1000,4,3,4.734933376312256,a=initial u=0.9 c=gloo,1000
1000,4,4,4.807710647583008,a=initial u=0.9 c=gloo,1000
1000,4,5,4.936873912811279,a=initial u=0.9 c=gloo,1000
1000,4,6,5.9833526611328125,a=initial u=0.9 c=gloo,1000
1000,4,7,4.700958728790283,a=initial u=0.9 c=gloo,1000
1000000000,1,0,297054.0,a=initial u=0.9 c=gloo,1000000000
1000000000,1,1,298865.59375,a=initial u=0.9 c=gloo,1000000000
1000000000,1,2,300834.6875,a=initial u=0.9 c=gloo,1000000000
1000000000,1,3,310969.15625,a=initial u=0.9 c=gloo,1000000000
1000000000,1,4,310194.875,a=initial u=0.9 c=gloo,1000000000
1000000000,1,5,311052.65625,a=initial u=0.9 c=gloo,1000000000
1000000000,2,0,156669.9375,a=initial u=0.9 c=gloo,1000000000
1000000000,2,1,249911.171875,a=initial u=0.9 c=gloo,1000000000
1000000000,2,2,245234.578125,a=initial u=0.9 c=gloo,1000000000
1000000000,2,3,242298.78125,a=initial u=0.9 c=gloo,1000000000
1000000000,2,4,234839.28125,a=initial u=0.9 c=gloo,1000000000
1000000000,2,5,243229.25,a=initial u=0.9 c=gloo,1000000000
1000000000,4,0,74389.0,a=initial u=0.9 c=gloo,1000000000
1000000000,4,1,108729.0234375,a=initial u=0.9 c=gloo,1000000000
1000000000,4,2,126234.359375,a=initial u=0.9 c=gloo,1000000000
1000000000,4,3,116336.375,a=initial u=0.9 c=gloo,1000000000
1000000000,4,4,118274.1328125,a=initial u=0.9 c=gloo,1000000000
1000000000,4,5,117181.2734375,a=initial u=0.9 c=gloo,1000000000
1000000000,8,0,36037.453125,a=initial u=0.9 c=gloo,1000000000
1000000000,8,1,51322.44140625,a=initial u=0.9 c=gloo,1000000000
1000000000,8,2,54436.9375,a=initial u=0.9 c=gloo,1000000000
1000000000,8,3,58943.53515625,a=initial u=0.9 c=gloo,1000000000
1000000000,8,4,57549.1484375,a=initial u=0.9 c=gloo,1000000000
1000000000,8,5,56143.390625,a=initial u=0.9 c=gloo,1000000000
1000000000,16,0,17796.28125,a=initial u=0.9 c=gloo,1000000000
1000000000,16,1,22074.798828125,a=initial u=0.9 c=gloo,1000000000
1000000000,16,2,23260.69921875,a=initial u=0.9 c=gloo,1000000000
1000000000,16,3,24797.48046875,a=initial u=0.9 c=gloo,1000000000
1000000000,16,4,23040.0078125,a=initial u=0.9 c=gloo,1000000000
1000000000,16,5,26770.16015625,a=initial u=0.9 c=gloo,1000000000
1000000000,32,0,10993.2978515625,a=initial u=0.9 c=gloo,1000000000
1000000000,32,1,13204.1953125,a=initial u=0.9 c=gloo,1000000000
1000000000,32,2,12545.134765625,a=initial u=0.9 c=gloo,1000000000
1000000000,32,3,13723.208984375,a=initial u=0.9 c=gloo,1000000000
1000000000,32,4,12734.10546875,a=initial u=0.9 c=gloo,1000000000
1000000000,32,5,12930.603515625,a=initial u=0.9 c=gloo,1000000000
1000000000,64,0,5721.74267578125,a=initial u=0.9 c=gloo,1000000000
1000000000,64,1,6606.08349609375,a=initial u=0.9 c=gloo,1000000000
1000000000,64,2,6815.666015625,a=initial u=0.9 c=gloo,1000000000
1000000000,64,3,6788.02685546875,a=initial u=0.9 c=gloo,1000000000
1000000000,64,4,7170.36181640625,a=initial u=0.9 c=gloo,1000000000
1000000000,64,5,6818.9609375,a=initial u=0.9 c=gloo,1000000000
1000000000,128,0,4372.5537109375,a=initial u=0.9 c=gloo,1000000000
1000000000,128,1,4264.8896484375,a=initial u=0.9 c=gloo,1000000000
1000000000,128,2,4099.6953125,a=initial u=0.9 c=gloo,1000000000
1000000000,128,3,4227.05810546875,a=initial u=0.9 c=gloo,1000000000
1000000000,128,4,4231.94580078125,a=initial u=0.9 c=gloo,1000000000
1000000000,128,5,4305.84228515625,a=initial u=0.9 c=gloo,1000000000
1000000000,256,0,4793.1767578125,a=initial u=0.9 c=gloo,1000000000
1000000000,256,1,4691.21484375,a=initial u=0.9 c=gloo,1000000000
1000000000,256,2,4286.63134765625,a=initial u=0.9 c=gloo,1000000000
1000000000,256,3,4389.6064453125,a=initial u=0.9 c=gloo,1000000000
1000000000,256,4,5039.98779296875,a=initial u=0.9 c=gloo,1000000000
1000000000,256,5,3410.75927734375,a=initial u=0.9 c=gloo,1000000000
#1000000000,512,0,12557.43359375,a=initial u=0.9 c=gloo,1000000000
#1000000000,512,1,13272.263671875,a=initial u=0.9 c=gloo,1000000000
1000000000,512,2,8401.4931640625,a=initial u=0.9 c=gloo,1000000000
1000000000,512,3,4915.48486328125,a=initial u=0.9 c=gloo,1000000000
1000000000,512,4,3393.819580078125,a=initial u=0.9 c=gloo,1000000000
1000000000,512,5,3351.044921875,a=initial u=0.9 c=gloo,1000000000

100000000,1,0,22796.212890625,a=initial u=0.9 c=gloo,100000000
100000000,1,1,23729.6171875,a=initial u=0.9 c=gloo,100000000
100000000,1,2,23665.451171875,a=initial u=0.9 c=gloo,100000000
100000000,1,3,23730.0546875,a=initial u=0.9 c=gloo,100000000
100000000,1,4,23616.3671875,a=initial u=0.9 c=gloo,100000000
100000000,1,5,23669.310546875,a=initial u=0.9 c=gloo,100000000
100000000,2,0,12390.5234375,a=initial u=0.9 c=gloo,100000000
100000000,2,1,14605.1484375,a=initial u=0.9 c=gloo,100000000
100000000,2,2,16210.80078125,a=initial u=0.9 c=gloo,100000000
100000000,2,3,15912.236328125,a=initial u=0.9 c=gloo,100000000
100000000,2,4,15611.23828125,a=initial u=0.9 c=gloo,100000000
100000000,2,5,15679.7138671875,a=initial u=0.9 c=gloo,100000000
100000000,4,0,6029.673828125,a=initial u=0.9 c=gloo,100000000
100000000,4,1,7295.9951171875,a=initial u=0.9 c=gloo,100000000
100000000,4,2,7621.05615234375,a=initial u=0.9 c=gloo,100000000
100000000,4,3,8119.1552734375,a=initial u=0.9 c=gloo,100000000
100000000,4,4,7806.232421875,a=initial u=0.9 c=gloo,100000000
100000000,4,5,7958.59765625,a=initial u=0.9 c=gloo,100000000
100000000,8,0,2984.92529296875,a=initial u=0.9 c=gloo,100000000
100000000,8,1,3485.6943359375,a=initial u=0.9 c=gloo,100000000
100000000,8,2,4047.754150390625,a=initial u=0.9 c=gloo,100000000
100000000,8,3,3627.53466796875,a=initial u=0.9 c=gloo,100000000
100000000,8,4,3979.433837890625,a=initial u=0.9 c=gloo,100000000
100000000,8,5,3761.158447265625,a=initial u=0.9 c=gloo,100000000
100000000,16,0,1590.67431640625,a=initial u=0.9 c=gloo,100000000
100000000,16,1,1737.1328125,a=initial u=0.9 c=gloo,100000000
100000000,16,2,2008.9300537109375,a=initial u=0.9 c=gloo,100000000
100000000,16,3,1810.041748046875,a=initial u=0.9 c=gloo,100000000
100000000,16,4,1812.4425048828125,a=initial u=0.9 c=gloo,100000000
100000000,16,5,1808.27783203125,a=initial u=0.9 c=gloo,100000000
100000000,32,0,1262.4407958984375,a=initial u=0.9 c=gloo,100000000
100000000,32,1,1239.004150390625,a=initial u=0.9 c=gloo,100000000
100000000,32,2,1329.3526611328125,a=initial u=0.9 c=gloo,100000000
100000000,32,3,1279.0965576171875,a=initial u=0.9 c=gloo,100000000
100000000,32,4,1290.1754150390625,a=initial u=0.9 c=gloo,100000000
100000000,32,5,1364.7435302734375,a=initial u=0.9 c=gloo,100000000
100000000,64,0,1186.6544189453125,a=initial u=0.9 c=gloo,100000000
100000000,64,1,1184.635986328125,a=initial u=0.9 c=gloo,100000000
100000000,64,2,1219.8612060546875,a=initial u=0.9 c=gloo,100000000
100000000,64,3,1178.6962890625,a=initial u=0.9 c=gloo,100000000
100000000,64,4,1059.1455078125,a=initial u=0.9 c=gloo,100000000
100000000,64,5,1221.818115234375,a=initial u=0.9 c=gloo,100000000
100000000,128,0,1697.8594970703125,a=initial u=0.9 c=gloo,100000000
100000000,128,1,1172.651123046875,a=initial u=0.9 c=gloo,100000000
100000000,128,2,1280.863037109375,a=initial u=0.9 c=gloo,100000000
100000000,128,3,1032.4781494140625,a=initial u=0.9 c=gloo,100000000
100000000,128,4,1276.1826171875,a=initial u=0.9 c=gloo,100000000
100000000,128,5,1191.0443115234375,a=initial u=0.9 c=gloo,100000000
100000000,256,0,1901.58984375,a=initial u=0.9 c=gloo,100000000
100000000,256,1,1195.1806640625,a=initial u=0.9 c=gloo,100000000
100000000,256,2,1819.331298828125,a=initial u=0.9 c=gloo,100000000
100000000,256,3,1694.2034912109375,a=initial u=0.9 c=gloo,100000000
100000000,256,4,1192.74072265625,a=initial u=0.9 c=gloo,100000000
100000000,256,5,1868.6859130859375,a=initial u=0.9 c=gloo,100000000
100000000,512,0,3230.359619140625,a=initial u=0.9 c=gloo,99999744
100000000,512,1,3059.98046875,a=initial u=0.9 c=gloo,99999744
100000000,512,2,5049.8642578125,a=initial u=0.9 c=gloo,99999744
100000000,512,3,2385.58056640625,a=initial u=0.9 c=gloo,99999744
100000000,512,4,2780.512451171875,a=initial u=0.9 c=gloo,99999744
100000000,512,5,2157.057373046875,a=initial u=0.9 c=gloo,99999744

