rows,world,it,time,tag,out
1000,10,0,3.2039406299591064,u=1.0 c=gloo,1000
1000,10,1,1.0398626327514648,u=1.0 c=gloo,1000
1000000000,1,0,5079.60009765625,u=0.9 c=gloo,1000000000
1000000000,1,1,6062.18701171875,u=0.9 c=gloo,1000000000
1000000000,1,2,6188.4619140625,u=0.9 c=gloo,1000000000
1000000000,1,3,5917.57177734375,u=0.9 c=gloo,1000000000
1000000000,1,4,5973.21630859375,u=0.9 c=gloo,1000000000
1000000000,1,5,5943.1533203125,u=0.9 c=gloo,1000000000
1000000000,1,6,6022.89453125,u=0.9 c=gloo,1000000000
1000000000,1,7,6011.208984375,u=0.9 c=gloo,1000000000
1000000000,2,0,2539.74951171875,u=0.9 c=gloo,1000000000
1000000000,2,1,1993.574462890625,u=0.9 c=gloo,1000000000
1000000000,2,2,3096.5771484375,u=0.9 c=gloo,1000000000
1000000000,2,3,2374.982421875,u=0.9 c=gloo,1000000000
1000000000,2,4,3236.559326171875,u=0.9 c=gloo,1000000000
1000000000,2,5,3493.385498046875,u=0.9 c=gloo,1000000000
1000000000,2,6,3452.82861328125,u=0.9 c=gloo,1000000000
1000000000,2,7,3479.409423828125,u=0.9 c=gloo,1000000000
1000000000,4,0,1300.1771240234375,u=0.9 c=gloo,1000000000
1000000000,4,1,984.8280639648438,u=0.9 c=gloo,1000000000
1000000000,4,2,1331.970947265625,u=0.9 c=gloo,1000000000
1000000000,4,3,1350.820556640625,u=0.9 c=gloo,1000000000
1000000000,4,4,2003.8040771484375,u=0.9 c=gloo,1000000000
1000000000,4,5,1851.859375,u=0.9 c=gloo,1000000000
1000000000,4,6,2043.337646484375,u=0.9 c=gloo,1000000000
1000000000,4,7,862.7923583984375,u=0.9 c=gloo,1000000000
1000000000,8,0,635.9681396484375,u=0.9 c=gloo,1000000000
1000000000,8,1,342.7831726074219,u=0.9 c=gloo,1000000000
1000000000,8,2,337.55987548828125,u=0.9 c=gloo,1000000000
1000000000,8,3,341.65948486328125,u=0.9 c=gloo,1000000000
1000000000,8,4,488.3827209472656,u=0.9 c=gloo,1000000000
1000000000,8,5,365.20751953125,u=0.9 c=gloo,1000000000
1000000000,8,6,762.540283203125,u=0.9 c=gloo,1000000000
1000000000,8,7,498.35736083984375,u=0.9 c=gloo,1000000000
1000000000,16,0,329.80731201171875,u=0.9 c=gloo,1000000000
1000000000,16,1,176.4809112548828,u=0.9 c=gloo,1000000000
1000000000,16,2,176.90130615234375,u=0.9 c=gloo,1000000000
1000000000,16,3,175.3869171142578,u=0.9 c=gloo,1000000000
1000000000,16,4,181.4002685546875,u=0.9 c=gloo,1000000000
1000000000,16,5,176.79434204101562,u=0.9 c=gloo,1000000000
1000000000,16,6,270.67852783203125,u=0.9 c=gloo,1000000000
1000000000,16,7,175.10667419433594,u=0.9 c=gloo,1000000000
1000000000,32,0,169.2164306640625,u=0.9 c=gloo,1000000000
1000000000,32,1,91.02696990966797,u=0.9 c=gloo,1000000000
1000000000,32,2,105.07624053955078,u=0.9 c=gloo,1000000000
1000000000,32,3,211.1754913330078,u=0.9 c=gloo,1000000000
1000000000,32,4,91.561279296875,u=0.9 c=gloo,1000000000
1000000000,32,5,122.42456817626953,u=0.9 c=gloo,1000000000
1000000000,32,6,122.20341491699219,u=0.9 c=gloo,1000000000
1000000000,32,7,103.69247436523438,u=0.9 c=gloo,1000000000
1000000000,64,0,96.4423828125,u=0.9 c=gloo,1000000000
1000000000,64,1,62.00908279418945,u=0.9 c=gloo,1000000000
1000000000,64,2,60.708106994628906,u=0.9 c=gloo,1000000000
1000000000,64,3,77.05194854736328,u=0.9 c=gloo,1000000000
1000000000,64,4,72.06669616699219,u=0.9 c=gloo,1000000000
1000000000,64,5,101.06430053710938,u=0.9 c=gloo,1000000000
1000000000,64,6,70.20648193359375,u=0.9 c=gloo,1000000000
1000000000,64,7,71.77886199951172,u=0.9 c=gloo,1000000000
1000000000,128,0,61.28871154785156,u=0.9 c=gloo,1000000000
1000000000,128,1,49.75899124145508,u=0.9 c=gloo,1000000000
1000000000,128,2,50.12847137451172,u=0.9 c=gloo,1000000000
1000000000,128,3,49.908023834228516,u=0.9 c=gloo,1000000000
1000000000,128,4,49.75968551635742,u=0.9 c=gloo,1000000000
1000000000,128,5,49.77168273925781,u=0.9 c=gloo,1000000000
1000000000,128,6,49.807613372802734,u=0.9 c=gloo,1000000000
1000000000,128,7,49.738590240478516,u=0.9 c=gloo,1000000000
1000000000,256,0,48.07404708862305,u=0.9 c=gloo,1000000000
1000000000,256,1,37.960575103759766,u=0.9 c=gloo,1000000000
1000000000,256,2,42.66300964355469,u=0.9 c=gloo,1000000000
