rows,world,it,time,tag,out
1000,10,0,2.8945207595825195,u=1.0 c=gloo,10
1000,10,1,0.7189035415649414,u=1.0 c=gloo,10
1000000000,1,0,1213.09423828125,u=0.9 c=gloo,1
1000000000,1,1,1210.0472412109375,u=0.9 c=gloo,1
1000000000,1,2,1210.4635009765625,u=0.9 c=gloo,1
1000000000,1,3,1210.3323974609375,u=0.9 c=gloo,1
1000000000,1,4,1210.8282470703125,u=0.9 c=gloo,1
1000000000,1,5,1209.929931640625,u=0.9 c=gloo,1
1000000000,1,6,1210.0499267578125,u=0.9 c=gloo,1
1000000000,1,7,1210.1273193359375,u=0.9 c=gloo,1
1000000000,2,0,619.4737548828125,u=0.9 c=gloo,2
1000000000,2,1,616.0338134765625,u=0.9 c=gloo,2
1000000000,2,2,615.403564453125,u=0.9 c=gloo,2
1000000000,2,3,617.7572021484375,u=0.9 c=gloo,2
1000000000,2,4,616.7022094726562,u=0.9 c=gloo,2
1000000000,2,5,617.7572021484375,u=0.9 c=gloo,2
1000000000,2,6,616.8341064453125,u=0.9 c=gloo,2
1000000000,2,7,616.392822265625,u=0.9 c=gloo,2
1000000000,4,0,309.907958984375,u=0.9 c=gloo,4
1000000000,4,1,306.55322265625,u=0.9 c=gloo,4
1000000000,4,2,305.78997802734375,u=0.9 c=gloo,4
1000000000,4,3,305.554443359375,u=0.9 c=gloo,4
1000000000,4,4,304.922119140625,u=0.9 c=gloo,4
1000000000,4,5,305.2004089355469,u=0.9 c=gloo,4
1000000000,4,6,305.14031982421875,u=0.9 c=gloo,4
1000000000,4,7,305.0568542480469,u=0.9 c=gloo,4
1000000000,8,0,153.4582061767578,u=0.9 c=gloo,8
1000000000,8,1,153.86846923828125,u=0.9 c=gloo,8
1000000000,8,2,154.69674682617188,u=0.9 c=gloo,8
1000000000,8,3,153.70574951171875,u=0.9 c=gloo,8
1000000000,8,4,154.06410217285156,u=0.9 c=gloo,8
1000000000,8,5,153.9586639404297,u=0.9 c=gloo,8
1000000000,8,6,154.2369384765625,u=0.9 c=gloo,8
1000000000,8,7,154.54232788085938,u=0.9 c=gloo,8
1000000000,16,0,81.5902328491211,u=0.9 c=gloo,16
1000000000,16,1,79.41734313964844,u=0.9 c=gloo,16
1000000000,16,2,78.74691009521484,u=0.9 c=gloo,16
1000000000,16,3,78.95161437988281,u=0.9 c=gloo,16
1000000000,16,4,80.09027862548828,u=0.9 c=gloo,16
1000000000,16,5,97.55767822265625,u=0.9 c=gloo,16
1000000000,16,6,78.73059844970703,u=0.9 c=gloo,16
1000000000,16,7,79.06788635253906,u=0.9 c=gloo,16
1000000000,32,0,42.1585578918457,u=0.9 c=gloo,32
1000000000,32,1,40.40281677246094,u=0.9 c=gloo,32
1000000000,32,2,40.41031265258789,u=0.9 c=gloo,32
1000000000,32,3,40.41844177246094,u=0.9 c=gloo,32
1000000000,32,4,40.58502197265625,u=0.9 c=gloo,32
1000000000,32,5,40.33199691772461,u=0.9 c=gloo,32
1000000000,32,6,40.31946563720703,u=0.9 c=gloo,32
1000000000,32,7,40.40575408935547,u=0.9 c=gloo,32
1000000000,64,0,23.55391502380371,u=0.9 c=gloo,64
1000000000,64,1,32.313838958740234,u=0.9 c=gloo,64
1000000000,64,2,33.96904373168945,u=0.9 c=gloo,64
1000000000,64,3,33.88341522216797,u=0.9 c=gloo,64
1000000000,64,4,33.936805725097656,u=0.9 c=gloo,64
1000000000,64,5,34.11979293823242,u=0.9 c=gloo,64
1000000000,64,6,34.03250503540039,u=0.9 c=gloo,64
1000000000,64,7,34.15158462524414,u=0.9 c=gloo,64
1000000000,128,0,19.14968490600586,u=0.9 c=gloo,128
1000000000,128,1,15.785852432250977,u=0.9 c=gloo,128
1000000000,128,2,15.580374717712402,u=0.9 c=gloo,128
1000000000,128,3,20.227602005004883,u=0.9 c=gloo,128
1000000000,128,4,21.18536949157715,u=0.9 c=gloo,128
1000000000,128,5,20.37565040588379,u=0.9 c=gloo,128
1000000000,128,6,20.525554656982422,u=0.9 c=gloo,128
1000000000,128,7,20.742053985595703,u=0.9 c=gloo,128
1000000000,256,0,15.305227279663086,u=0.9 c=gloo,256
1000000000,256,1,11.684375762939453,u=0.9 c=gloo,256
1000000000,256,2,11.690951347351074,u=0.9 c=gloo,256
1000000000,256,3,12.118538856506348,u=0.9 c=gloo,256
1000000000,256,4,14.318011283874512,u=0.9 c=gloo,256
1000000000,256,5,13.288801193237305,u=0.9 c=gloo,256
1000000000,256,6,17.860519409179688,u=0.9 c=gloo,256
1000000000,256,7,13.385540962219238,u=0.9 c=gloo,256
1000000000,512,0,19.89654541015625,u=0.9 c=gloo,512
1000000000,512,1,13.39694595336914,u=0.9 c=gloo,512
1000000000,512,2,15.676769256591797,u=0.9 c=gloo,512
1000000000,512,3,14.582796096801758,u=0.9 c=gloo,512
1000000000,512,4,14.311235427856445,u=0.9 c=gloo,512
1000000000,512,5,16.23076820373535,u=0.9 c=gloo,512
1000000000,512,6,20.895109176635742,u=0.9 c=gloo,512
1000000000,512,7,15.127294540405273,u=0.9 c=gloo,512
