rows,world,it,time,tag,out
1000000000,1,0,195552.21875,a=hash u=0.9 c=gloo,603718874
1000000000,1,1,210993.578125,a=hash u=0.9 c=gloo,603718874
1000000000,1,2,229063.421875,a=hash u=0.9 c=gloo,603718874
1000000000,1,3,232423.109375,a=hash u=0.9 c=gloo,603718874
1000000000,1,4,206160.640625,a=hash u=0.9 c=gloo,603718874
1000000000,1,5,206440.765625,a=hash u=0.9 c=gloo,603718874
1000000000,1,6,206029.203125,a=hash u=0.9 c=gloo,603718874
1000000000,1,7,224902.984375,a=hash u=0.9 c=gloo,603718874
1000000000,2,0,124266.28125,a=hash u=0.9 c=gloo,603736151
1000000000,2,1,143079.359375,a=hash u=0.9 c=gloo,603736151
1000000000,2,2,145487.625,a=hash u=0.9 c=gloo,603736151
1000000000,2,3,155554.984375,a=hash u=0.9 c=gloo,603736151
1000000000,2,4,169685.96875,a=hash u=0.9 c=gloo,603736151
1000000000,2,5,145233.9375,a=hash u=0.9 c=gloo,603736151
1000000000,2,6,162113.421875,a=hash u=0.9 c=gloo,603736151
1000000000,2,7,159270.453125,a=hash u=0.9 c=gloo,603736151
1000000000,4,0,75534.515625,a=hash u=0.9 c=gloo,603722883
1000000000,4,1,94086.171875,a=hash u=0.9 c=gloo,603722883
1000000000,4,2,92581.0,a=hash u=0.9 c=gloo,603722883
1000000000,4,3,92028.515625,a=hash u=0.9 c=gloo,603722883
1000000000,4,4,84649.09375,a=hash u=0.9 c=gloo,603722883
1000000000,4,5,94684.59375,a=hash u=0.9 c=gloo,603722883
1000000000,4,6,88223.53125,a=hash u=0.9 c=gloo,603722883
1000000000,4,7,102055.484375,a=hash u=0.9 c=gloo,603722883
1000000000,8,0,39657.4296875,a=hash u=0.9 c=gloo,603714534
1000000000,8,1,52793.94140625,a=hash u=0.9 c=gloo,603714534
1000000000,8,2,58173.0390625,a=hash u=0.9 c=gloo,603714534
1000000000,8,3,55752.89453125,a=hash u=0.9 c=gloo,603714534
1000000000,8,4,58000.984375,a=hash u=0.9 c=gloo,603714534
1000000000,8,5,59829.890625,a=hash u=0.9 c=gloo,603714534
1000000000,8,6,57243.109375,a=hash u=0.9 c=gloo,603714534
1000000000,8,7,57087.5234375,a=hash u=0.9 c=gloo,603714534
1000000000,16,0,18713.478515625,a=hash u=0.9 c=gloo,603714044
1000000000,16,1,23360.75390625,a=hash u=0.9 c=gloo,603714044
1000000000,16,2,24351.431640625,a=hash u=0.9 c=gloo,603714044
1000000000,16,3,26751.515625,a=hash u=0.9 c=gloo,603714044
1000000000,16,4,26156.890625,a=hash u=0.9 c=gloo,603714044
1000000000,16,5,25447.21875,a=hash u=0.9 c=gloo,603714044
1000000000,16,6,25764.75,a=hash u=0.9 c=gloo,603714044
1000000000,16,7,27696.974609375,a=hash u=0.9 c=gloo,603714044
1000000000,32,0,11430.419921875,a=hash u=0.9 c=gloo,603706525
1000000000,32,1,12712.4501953125,a=hash u=0.9 c=gloo,603706525
1000000000,32,2,12313.6474609375,a=hash u=0.9 c=gloo,603706525
1000000000,32,3,12187.0341796875,a=hash u=0.9 c=gloo,603706525
1000000000,32,4,12065.6455078125,a=hash u=0.9 c=gloo,603706525
1000000000,32,5,12638.8642578125,a=hash u=0.9 c=gloo,603706525
1000000000,32,6,12570.6259765625,a=hash u=0.9 c=gloo,603706525
1000000000,32,7,12382.8017578125,a=hash u=0.9 c=gloo,603706525
1000000000,1,0,195920.484375,a=mapred_hash u=0.9 c=gloo,603718874
1000000000,1,1,231191.53125,a=mapred_hash u=0.9 c=gloo,603718874
1000000000,1,2,235058.765625,a=mapred_hash u=0.9 c=gloo,603718874
1000000000,1,3,240769.453125,a=mapred_hash u=0.9 c=gloo,603718874
1000000000,1,4,236690.359375,a=mapred_hash u=0.9 c=gloo,603718874
1000000000,1,5,236475.59375,a=mapred_hash u=0.9 c=gloo,603718874
1000000000,1,6,240143.390625,a=mapred_hash u=0.9 c=gloo,603718874
1000000000,1,7,238856.765625,a=mapred_hash u=0.9 c=gloo,603718874
1000000000,2,0,247220.46875,a=mapred_hash u=0.9 c=gloo,603736151
1000000000,2,1,244841.125,a=mapred_hash u=0.9 c=gloo,603736151
1000000000,2,2,271980.3125,a=mapred_hash u=0.9 c=gloo,603736151
1000000000,2,3,312619.8125,a=mapred_hash u=0.9 c=gloo,603736151
1000000000,2,4,324672.625,a=mapred_hash u=0.9 c=gloo,603736151
1000000000,2,5,282749.875,a=mapred_hash u=0.9 c=gloo,603736151
1000000000,2,6,282687.75,a=mapred_hash u=0.9 c=gloo,603736151
1000000000,2,7,317788.75,a=mapred_hash u=0.9 c=gloo,603736151
1000000000,4,0,136618.78125,a=mapred_hash u=0.9 c=gloo,603722883
1000000000,4,1,167250.171875,a=mapred_hash u=0.9 c=gloo,603722883
1000000000,4,2,170406.265625,a=mapred_hash u=0.9 c=gloo,603722883
1000000000,4,3,175235.59375,a=mapred_hash u=0.9 c=gloo,603722883
1000000000,4,4,184137.1875,a=mapred_hash u=0.9 c=gloo,603722883
1000000000,4,5,175440.375,a=mapred_hash u=0.9 c=gloo,603722883
1000000000,4,6,194187.71875,a=mapred_hash u=0.9 c=gloo,603722883
1000000000,4,7,190229.640625,a=mapred_hash u=0.9 c=gloo,603722883
1000000000,8,0,89383.3515625,a=mapred_hash u=0.9 c=gloo,603714534
1000000000,8,1,105685.765625,a=mapred_hash u=0.9 c=gloo,603714534
1000000000,8,2,107813.375,a=mapred_hash u=0.9 c=gloo,603714534
1000000000,8,3,102676.078125,a=mapred_hash u=0.9 c=gloo,603714534
1000000000,8,4,96541.421875,a=mapred_hash u=0.9 c=gloo,603714534
1000000000,8,5,104610.7109375,a=mapred_hash u=0.9 c=gloo,603714534
1000000000,8,6,118243.7109375,a=mapred_hash u=0.9 c=gloo,603714534
1000000000,8,7,110506.8125,a=mapred_hash u=0.9 c=gloo,603714534
1000000000,16,0,46598.45703125,a=mapred_hash u=0.9 c=gloo,603714044
1000000000,16,1,51669.91015625,a=mapred_hash u=0.9 c=gloo,603714044
1000000000,16,2,54254.1796875,a=mapred_hash u=0.9 c=gloo,603714044
1000000000,16,3,59950.5390625,a=mapred_hash u=0.9 c=gloo,603714044
1000000000,16,4,50932.55078125,a=mapred_hash u=0.9 c=gloo,603714044
1000000000,16,5,51571.03125,a=mapred_hash u=0.9 c=gloo,603714044
1000000000,16,6,56340.1640625,a=mapred_hash u=0.9 c=gloo,603714044
1000000000,16,7,51475.546875,a=mapred_hash u=0.9 c=gloo,603714044
1000000000,32,0,25015.203125,a=mapred_hash u=0.9 c=gloo,603706525
1000000000,32,1,28344.734375,a=mapred_hash u=0.9 c=gloo,603706525
1000000000,32,2,30442.51171875,a=mapred_hash u=0.9 c=gloo,603706525
1000000000,32,3,27417.185546875,a=mapred_hash u=0.9 c=gloo,603706525
1000000000,32,4,29642.267578125,a=mapred_hash u=0.9 c=gloo,603706525
1000000000,32,5,28032.09375,a=mapred_hash u=0.9 c=gloo,603706525
1000000000,32,6,30155.185546875,a=mapred_hash u=0.9 c=gloo,603706525
1000000000,32,7,28441.765625,a=mapred_hash u=0.9 c=gloo,603706525
1000000000,512,0,51369.3515625,a=hash u=0.9 c=gloo,603727924
1000000000,512,1,56373.703125,a=hash u=0.9 c=gloo,603727924
1000000000,512,2,8492.4541015625,a=hash u=0.9 c=gloo,603727924
1000000000,512,3,7300.69189453125,a=hash u=0.9 c=gloo,603727924
1000000000,512,4,4588.8525390625,a=hash u=0.9 c=gloo,603727924
1000000000,512,5,4691.529296875,a=hash u=0.9 c=gloo,603727924
1000000000,512,6,5455.81787109375,a=hash u=0.9 c=gloo,603727924
1000000000,512,7,4674.77294921875,a=hash u=0.9 c=gloo,603727924
1000000000,512,0,39355.81640625,a=hash u=0.9 c=gloo,603727924
1000000000,512,1,43686.4375,a=hash u=0.9 c=gloo,603727924
1000000000,512,2,4814.8974609375,a=hash u=0.9 c=gloo,603727924
1000000000,512,3,6747.17333984375,a=hash u=0.9 c=gloo,603727924
1000000000,512,4,4485.072265625,a=hash u=0.9 c=gloo,603727924
1000000000,512,5,4300.9208984375,a=hash u=0.9 c=gloo,603727924
1000000000,512,6,5088.5439453125,a=hash u=0.9 c=gloo,603727924
1000000000,512,7,5032.87255859375,a=hash u=0.9 c=gloo,603727924
