rows,world,it,time
1000000,32,0,3646.841526031494
1000000,32,1,811.1438751220703
1000000,32,2,926.0625839233398
1000000,32,3,801.100492477417
1000000,32,4,798.9621162414551
1000000000,512,0,285817.9657459259
1000000000,512,1,203650.03967285156
1000000000,512,2,193032.3929786682
1000000000,512,3,193078.25994491577
1000000000,256,0,292289.0512943268
1000000000,256,1,245353.48987579346
1000000000,256,2,219798.87413978577
1000000000,256,3,217234.72809791565
1000000000,128,0,404062.11519241333
1000000000,128,1,309649.5084762573
1000000000,128,2,323333.03475379944
1000000000,128,3,304830.87158203125
1000000000,64,0,289778.61738204956
1000000000,64,1,222806.23364448547
1000000000,64,2,212758.718252182
1000000000,64,3,207544.39067840576
1000000000,32,0,329868.20793151855
1000000000,32,1,264739.0959262848
1000000000,32,2,251507.56168365479
1000000000,32,3,259170.6840991974
