rows,world,it,time
# 1000000000,1,0,911093.3518409729
# 1000000000,1,1,888116.019487381
# 1000000000,2,0,638920.1159477234
# 1000000000,2,1,640637.0003223419
# 1000000000,4,0,533000.2865791321
# 1000000000,4,1,531999.6728897095
# 1000000000,8,0,439999.35960769653
# 1000000000,8,1,427000.3809928894
# 1000000000,16,0,601999.5183944702
# 1000000000,16,1,587997.8406429291
# 1000000000,32,0,1227999.5436668396
# 1000000000,32,1,1255999.0260601044
# 1000000000,64,0,557999.623298645
# 1000000000,64,1,557999.5625019073
# 1000000000,128,0,299997.8451728821
# 1000000000,128,1,305995.00036239624
# 1000000000,256,0,185993.34287643433
# 1000000000,256,1,188995.54133415222
# 1000000000,512,0,106991.5463924408
# 1000000000,512,1,114983.79230499268
# 1000000000,1,0,882672.0654964447
# 1000000000,1,1,882595.273733139
# 1000000000,2,0,646997.9248046875
# 1000000000,2,1,647998.2092380524
# 1000000000,4,0,519999.8667240143
# 1000000000,4,1,517998.74472618103
# 1000000000,8,0,434000.3249645233
# 1000000000,8,1,425998.7189769745
# 1000000000,16,0,563999.9203681946
# 1000000000,16,1,569998.4812736511
# 1000000000,32,0,1211998.7857341766
# 1000000000,32,1,1258000.7729530334
# 1000000000,64,0,555997.2460269928
# 1000000000,64,1,545999.3093013763
# 1000000000,128,0,299997.75767326355
# 1000000000,128,1,295996.84882164
# 1000000000,256,0,181994.25745010376
# 1000000000,256,1,189997.2438812256
# 1000000000,512,0,116993.33453178406
# 1000000000,512,1,113986.67049407959

1000000000,512,0,448936.021566391
1000000000,512,1,429756.03199005127
1000000000,512,2,451392.450094223
1000000000,512,3,445013.27443122864
1000000000,512,4,443362.47754096985
1000000000,512,5,440625.96821784973
1000000000,256,0,477825.4873752594
1000000000,512,0,463408.1082344055
1000000000,512,1,425485.9402179718
1000000000,512,2,442157.546043396
1000000000,512,3,456621.5145587921
1000000000,256,0,492000.0967979431
1000000000,256,0,509306.55217170715
1000000000,256,1,509022.42970466614
1000000000,256,2,505683.46333503723
1000000000,256,3,496387.0224952698
1000000000,128,0,568889.7833824158
1000000000,128,1,560108.6685657501
1000000000,128,2,587524.8026847839
1000000000,128,3,592429.764509201
1000000000,64,0,395999.7389316559
1000000000,32,0,460785.21847724915
1000000000,32,1,467680.917263031
1000000000,32,2,460887.67409324646
1000000000,32,3,457404.5674800873
1000000000,16,0,563999.8941421509
1000000000,8,0,390999.80878829956
1000000000,4,0,508000.10800361633
1000000000,2,0,608000.2799034119
1000000000,1,0,870000.6191730499
1000000000,64,0,410959.7930908203
1000000000,64,1,402183.78496170044
1000000000,64,2,416811.19894981384
1000000000,64,3,394585.3605270386
1000000000,16,0,550000.6778240204
1000000000,8,0,396998.85630607605
1000000000,4,0,479999.9635219574
1000000000,2,0,604000.091791153
1000000000,1,0,875998.8167285919
1000000000,16,0,563375.9019374847
1000000000,16,1,556927.2682666779
1000000000,16,2,562202.695608139
1000000000,16,3,575878.1270980835
1000000000,8,0,396621.378660202
1000000000,8,1,400649.2805480957
1000000000,8,2,395080.85346221924
1000000000,8,3,392052.03342437744
1000000000,4,0,476480.8933734894
1000000000,4,1,475595.9632396698
1000000000,4,2,477947.2074508667
1000000000,4,3,476019.55938339233
1000000000,2,0,604697.3576545715
1000000000,2,1,608445.995092392
1000000000,2,2,610235.5020046234
1000000000,2,3,609236.6058826447
1000000000,1,0,875394.8142528534
1000000000,1,1,861993.1073188782
1000000000,1,2,861673.4626293182
1000000000,1,3,863400.6807804108

100000000,512,0,42177.462100982666
100000000,512,1,35813.453912734985
100000000,512,2,36251.91903114319
100000000,512,3,36054.07476425171
100000000,512,4,42051.55634880066
100000000,512,5,38737.06078529358
100000000,256,0,44003.937005996704
100000000,256,1,41741.96791648865
100000000,256,2,41578.662395477295
100000000,256,3,40958.69278907776
100000000,256,4,42899.14393424988
100000000,256,5,41209.55967903137
100000000,128,0,52470.62349319458
100000000,128,1,51157.81497955322
100000000,128,2,51218.656063079834
100000000,128,3,51197.96085357666
100000000,128,4,48154.30521965027
100000000,128,5,51468.289375305176
100000000,64,0,36303.0207157135
100000000,64,1,35820.300817489624
100000000,64,2,35820.00684738159
100000000,64,3,35518.29528808594
100000000,64,4,35618.01290512085
100000000,64,5,35753.34143638611
100000000,32,0,41517.06004142761
100000000,32,1,40013.13233375549
100000000,32,2,39704.381465911865
100000000,32,3,39453.996419906616
100000000,32,4,39603.6057472229
100000000,32,5,40374.91822242737
100000000,16,0,52650.654315948486
100000000,16,1,50433.75372886658
100000000,16,2,49198.49443435669
100000000,16,3,48750.54049491882
100000000,16,4,48970.19910812378
100000000,16,5,48946.3529586792
100000000,8,0,42011.937379837036
100000000,8,1,36938.196420669556
100000000,8,2,35564.84317779541
100000000,8,3,35133.896589279175
100000000,8,4,35570.76597213745
100000000,8,5,35969.81954574585
100000000,4,0,55760.743856430054
100000000,4,1,43748.334884643555
100000000,4,2,42045.06492614746
100000000,4,3,41859.70711708069
100000000,4,4,42725.52967071533
100000000,4,5,42377.87437438965
100000000,2,0,53328.69863510132
100000000,2,1,52814.07642364502
100000000,2,2,52489.58420753479
100000000,2,3,52475.10766983032
100000000,2,4,52791.855335235596
100000000,2,5,52310.527324676514
100000000,1,0,67778.34796905518
100000000,1,1,66828.89032363892
100000000,1,2,66792.17171669006
100000000,1,3,66809.87572669983
100000000,1,4,66706.41231536865
100000000,1,5,66367.95020103455
1000000000,2,0,602757.9326629639
1000000000,2,1,603459.0351581573
1000000000,2,2,601987.1623516083
1000000000,2,3,671399.1539478302
1000000000,2,4,654742.3458099365
1000000000,2,5,652234.8082065582
1000000000,1,0,879136.4016532898
1000000000,1,1,875476.8295288086
1000000000,1,2,878618.2110309601
1000000000,1,3,850793.2386398315
1000000000,1,4,868661.7348194122
1000000000,1,5,881725.2724170685
