rows,world,it,time
# 1000000000,1,0,703191.0729408264
# 1000000000,1,1,699934.9362850189
# 1000000000,2,0,550608.0372333527
# 1000000000,2,1,513894.6008682251
# 1000000000,4,0,356999.34697151184
# 1000000000,4,1,355999.2434978485
# 1000000000,8,0,231999.43280220032
# 1000000000,8,1,215999.19366836548
# 1000000000,16,0,154001.94883346558
# 1000000000,16,1,147000.75674057007
# 1000000000,32,0,126999.52983856201
# 1000000000,32,1,127999.15504455566
# 1000000000,64,0,99997.59078025818
# 1000000000,64,1,111998.03614616394
# 1000000000,128,0,119998.35538864136
# 1000000000,128,1,117997.0223903656
# 1000000000,256,0,96999.80926513672
# 1000000000,256,1,95994.67635154724
# 1000000000,512,0,117993.7334060669
# 1000000000,512,1,115993.28351020813
# 100000000,1,0,50353.77907752991
# 100000000,1,1,50427.71363258362
# 100000000,1,2,51224.58577156067
# 100000000,1,3,49999.02606010437
# 100000000,2,0,48289.95966911316
# 100000000,2,1,47999.29666519165
# 100000000,2,2,47998.817920684814
# 100000000,2,3,47997.52235412598
# 100000000,4,0,44224.108934402466
# 100000000,4,1,34520.37596702576
# 100000000,4,2,34409.69109535217
# 100000000,4,3,36986.89913749695
# 100000000,8,0,25872.466325759888
# 100000000,8,1,21999.557733535767
# 100000000,8,2,23000.67949295044
# 100000000,8,3,21998.905897140503
# 100000000,16,0,22001.401662826538
# 100000000,16,1,16000.58650970459
# 100000000,16,2,16000.5202293396
# 100000000,16,3,16000.401496887207
# 100000000,32,0,13999.485731124878
# 100000000,32,1,13997.148752212524
# 100000000,32,2,13997.058629989624
# 100000000,32,3,13998.908996582031
# 100000000,64,0,11997.56383895874
# 100000000,64,1,13999.286890029907
# 100000000,64,2,11995.89729309082
# 100000000,64,3,11997.815608978271
# 100000000,128,0,17445.685625076294
# 100000000,128,1,13997.9829788208
# 100000000,128,2,13997.302293777466
# 100000000,128,3,11999.031066894531
# 100000000,256,0,15994.683265686035
# 100000000,256,1,14990.036010742188
# 100000000,256,2,15001.862287521362
# 100000000,256,3,15992.53249168396
# 100000000,512,0,27120.348930358887
# 100000000,512,1,23987.056016921997
# 100000000,512,2,22981.808185577393
# 100000000,512,3,23988.317489624023
# parquet 
#1000000000,512,0,94440.6156539917
1000000000,512,1,23706.65168762207
1000000000,512,2,24205.12366294861
1000000000,512,3,24264.723539352417
1000000000,512,4,22510.496616363525
1000000000,512,5,22417.409896850586
#1000000000,256,0,93789.60275650024
1000000000,256,1,16794.02732849121
1000000000,256,2,16291.41092300415
1000000000,256,3,16384.942531585693
1000000000,256,4,16440.067052841187
1000000000,256,5,16131.60514831543
#1000000000,128,0,113053.91645431519
1000000000,128,1,27522.212266921997
1000000000,128,2,24490.90266227722
1000000000,128,3,23766.831159591675
1000000000,128,4,26881.487607955933
1000000000,128,5,23494.810819625854
#1000000000,64,0,117146.92854881287
1000000000,64,1,45816.845417022705
1000000000,64,2,44672.29700088501
1000000000,64,3,46785.52722930908
1000000000,64,4,41621.614933013916
1000000000,64,5,36728.07836532593
#1000000000,32,0,167475.39496421814
1000000000,32,1,57410.98737716675
1000000000,32,2,65613.73615264893
1000000000,32,3,64930.84001541138
1000000000,32,4,55342.851877212524
1000000000,32,5,61231.77480697632
#1000000000,16,0,146373.80647659302
1000000000,16,1,77228.57141494751
1000000000,16,2,78814.62216377258
1000000000,16,3,80704.1654586792
1000000000,16,4,76318.28022003174
1000000000,16,5,83735.34107208252
#1000000000,8,0,265216.51244163513
1000000000,8,1,169517.89093017578
1000000000,8,2,178421.5967655182
1000000000,8,3,189295.18270492554
1000000000,8,4,190265.05541801453
1000000000,8,5,181590.75593948364
#1000000000,4,0,396170.89653015137
#1000000000,4,1,466036.32140159607
1000000000,4,2,352371.4864253998
1000000000,4,3,278707.5774669647
1000000000,4,4,266518.54395866394
1000000000,4,5,300965.23094177246
#1000000000,2,0,561810.5351924896
1000000000,2,1,463638.4611129761
1000000000,2,2,451722.83267974854
1000000000,2,3,450244.3222999573
1000000000,2,4,452272.5234031677
1000000000,2,5,451349.27248954773
1000000000,1,0,631717.1812057495
1000000000,1,1,639567.684173584
1000000000,1,2,637689.3177032471
1000000000,1,3,638881.1330795288
1000000000,1,4,638419.4767475128
1000000000,1,5,642214.7364616394

100000000,1,0,47769.0155506134
100000000,1,1,46476.564168930054
100000000,1,2,46467.83757209778
100000000,1,3,45605.33547401428
100000000,1,4,45108.83164405823
100000000,2,0,49832.82542228699
100000000,2,1,41876.38163566589
100000000,2,2,41870.58687210083
100000000,2,3,41978.23238372803
100000000,2,4,41878.80039215088
100000000,4,0,56444.957971572876
100000000,4,1,40667.022943496704
100000000,4,2,32671.088695526123
100000000,4,3,32847.652435302734
100000000,4,4,43180.203437805176
100000000,256,0,14981.629610061646
100000000,256,1,6455.411195755005
100000000,256,2,6473.217964172363
100000000,256,3,6287.730932235718
100000000,256,4,6687.269687652588
100000000,256,5,6143.986463546753
100000000,128,0,10218.958854675293
100000000,128,1,3891.664981842041
100000000,128,2,4013.447046279907
100000000,128,3,4876.235723495483
100000000,128,4,3751.434803009033
100000000,128,5,3934.32879447937
100000000,64,0,11516.353607177734
100000000,64,1,3783.6310863494873
100000000,64,2,3958.2433700561523
100000000,64,3,3592.3783779144287
100000000,64,4,3687.9048347473145
100000000,64,5,3839.184522628784
100000000,32,0,13761.998891830444
100000000,32,1,4853.044748306274
100000000,32,2,5401.4317989349365
100000000,32,3,4998.06809425354
100000000,32,4,4949.642658233643
100000000,32,5,4975.72135925293
100000000,16,0,14297.056913375854
100000000,16,1,7038.009405136108
100000000,16,2,7315.098762512207
100000000,16,3,6792.301893234253
100000000,16,4,6787.076473236084
100000000,16,5,6762.104511260986
100000000,8,0,29925.984144210815
100000000,8,1,19584.55801010132
100000000,8,2,16879.499912261963
100000000,8,3,17449.01728630066
100000000,8,4,16992.49577522278
100000000,8,5,16323.212385177612
100000000,512,0,21281.56280517578
100000000,512,1,14755.346298217773
100000000,512,2,15360.83698272705
100000000,512,3,14936.63215637207
100000000,512,4,14433.838844299316
100000000,512,5,14801.913976669312
