rows,world,it,time
# 1000000000,1,0,34098.73127937317
# 1000000000,1,1,34032.88722038269
# 1000000000,2,0,49999.122619628906
# 1000000000,2,1,47998.74925613403
# 1000000000,4,0,44997.748374938965
# 1000000000,4,1,45999.7181892395
# 1000000000,8,0,43999.28021430969
# 1000000000,8,1,43998.74997138977
# 1000000000,16,0,44367.20371246338
# 1000000000,16,1,41543.80416870117
# 1000000000,32,0,41999.751567840576
# 1000000000,32,1,43998.07596206665
# 1000000000,64,0,41052.34599113464
# 1000000000,64,1,40873.00395965576
# 1000000000,128,0,43999.44448471069
# 1000000000,128,1,41995.163440704346
# 1000000000,256,0,41999.319076538086
# 1000000000,256,1,42003.57103347778
# 1000000000,512,0,42002.97784805298
# 1000000000,512,1,40000.36001205444
# 1000000000,1,0,34068.95637512207
# 1000000000,1,1,32561.56277656555
# 1000000000,2,0,48239.33744430542
# 1000000000,2,1,47878.955602645874
# 1000000000,4,0,44565.9065246582
# 1000000000,4,1,44787.41931915283
# 1000000000,8,0,42232.017993927
# 1000000000,8,1,42284.998416900635
# 1000000000,16,0,43001.604080200195
# 1000000000,16,1,40999.0930557251
# 1000000000,32,0,34000.38814544678
# 1000000000,32,1,43000.68497657776
# 1000000000,64,0,41999.20964241028
# 1000000000,64,1,39999.50671195984
# 1000000000,128,0,42001.22594833374
# 1000000000,128,1,39998.236894607544
# 1000000000,256,0,43991.867542266846
# 1000000000,256,1,41997.95150756836
# 1000000000,512,0,35991.801261901855
# 1000000000,512,1,35998.47149848938
1000000000,512,0,89857.74183273315
1000000000,512,1,789.6676063537598
1000000000,512,2,917.0527458190918
1000000000,512,3,836.2336158752441
1000000000,512,4,857.5930595397949
1000000000,256,0,86334.84697341919
1000000000,256,1,355.7548522949219
1000000000,256,2,354.0534973144531
1000000000,256,3,355.3597927093506
1000000000,256,4,418.7140464782715
1000000000,128,0,71946.2263584137
1000000000,128,1,508.94880294799805
1000000000,128,2,513.8645172119141
1000000000,128,3,502.43520736694336
1000000000,128,4,503.7717819213867
1000000000,64,0,76166.01943969727
1000000000,64,1,229.03203964233398
1000000000,64,2,267.1163082122803
1000000000,64,3,359.2202663421631
1000000000,64,4,363.9223575592041
1000000000,32,0,72261.16847991943
1000000000,32,1,298.6609935760498
1000000000,32,2,234.60054397583008
1000000000,32,3,235.45408248901367
1000000000,32,4,240.39888381958008
1000000000,16,0,66955.7089805603
1000000000,16,1,433.61949920654297
1000000000,16,2,400.7000923156738
1000000000,16,3,394.1185474395752
1000000000,16,4,393.5201168060303
1000000000,8,0,65135.49327850342
1000000000,8,1,754.9805641174316
1000000000,8,2,656.254768371582
1000000000,8,3,709.3098163604736
1000000000,8,4,717.8313732147217
1000000000,4,0,60738.470792770386
1000000000,4,1,1273.4181880950928
1000000000,4,2,1227.9772758483887
1000000000,4,3,1281.794548034668
1000000000,4,4,1225.229024887085
1000000000,2,0,51369.57240104675
1000000000,2,1,2440.093517303467
1000000000,2,2,2436.6233348846436
1000000000,2,3,2434.7903728485107
1000000000,2,4,2444.334030151367
1000000000,1,0,6325.350522994995
1000000000,1,1,4894.9875831604
1000000000,1,2,4753.011703491211
1000000000,1,3,4745.944023132324
1000000000,1,4,4836.822748184204
