rows,world,it,time
10000,4,0,590.7473564147949
10000,4,1,139.3892765045166
10000,4,2,299.9556064605713
10000,4,3,176.3463020324707
10000,8,0,640.9623622894287
10000,8,1,238.81006240844727
10000,8,2,169.6622371673584
10000,8,3,174.27301406860352
1000000000,512,0,16566.564798355103
1000000000,512,1,13106.727838516235
1000000000,512,2,13471.364259719849
1000000000,512,3,13961.299896240234
1000000000,64,0,28587.764739990234
1000000000,64,1,25679.306983947754
1000000000,64,2,25056.47039413452
1000000000,64,3,24809.279203414917
1000000000,256,0,12780.74598312378
1000000000,256,1,10903.826713562012
1000000000,256,2,10850.82745552063
1000000000,256,3,10884.320974349976
1000000000,128,0,16080.80530166626
1000000000,128,1,14226.552963256836
1000000000,128,2,14171.721458435059
1000000000,128,3,13399.93691444397
1000000000,32,0,35802.31595039368
1000000000,32,1,31183.843851089478
1000000000,32,2,30724.841594696045
1000000000,32,3,30932.440042495728
1000000000,16,0,170209.98978614807
1000000000,16,1,66006.12354278564
1000000000,16,2,66396.31080627441
1000000000,16,3,65732.83410072327
1000000000,4,0,151547.44148254395
1000000000,4,1,149336.7564678192
1000000000,4,2,157315.5903816223
1000000000,4,3,147381.79659843445
1000000000,8,0,79588.72485160828
1000000000,8,1,79483.38174819946
1000000000,8,2,77809.0169429779
1000000000,8,3,79694.82231140137
1000000000,2,0,321754.0431022644
1000000000,2,1,300579.0102481842
1000000000,2,2,302526.6025066376
1000000000,2,3,302353.1382083893
1000000000,1,0,343403.89013290405
1000000000,1,1,334729.0315628052
1000000000,1,2,333580.44481277466
1000000000,1,3,333492.22445487976
1000000000,2,0,308783.24151039124
1000000000,2,1,267256.3729286194
1000000000,2,2,261386.40832901
1000000000,2,3,259848.2644557953
1000000000,2,4,259669.59834098816
1000000000,2,5,260840.46339988708
1000000000,1,0,346033.0765247345
1000000000,1,1,338343.59884262085
1000000000,1,2,336319.2117214203
1000000000,1,3,334716.9518470764
1000000000,1,4,336661.76986694336
1000000000,1,5,371069.8983669281

100000000,1,0,26608.41965675354
100000000,1,1,25987.539529800415
100000000,1,2,25991.6775226593
100000000,1,3,26023.552179336548
100000000,1,4,25984.956979751587
100000000,1,5,25982.70535469055
100000000,2,0,25780.441522598267
100000000,2,1,23159.504175186157
100000000,2,2,23140.972137451172
100000000,2,3,23078.019380569458
100000000,2,4,23017.19307899475
100000000,2,5,23053.696155548096
100000000,4,0,14532.132863998413
100000000,4,1,13556.9167137146
100000000,4,2,14155.654191970825
100000000,4,3,13482.91039466858
100000000,4,4,13983.949184417725
100000000,4,5,14019.633769989014
100000000,8,0,8321.861743927002
100000000,8,1,7813.553333282471
100000000,8,2,7783.927917480469
100000000,8,3,7857.036352157593
100000000,8,4,7780.824899673462
100000000,8,5,7752.0482540130615
100000000,16,0,5928.484678268433
100000000,16,1,4940.352201461792
100000000,16,2,4543.251991271973
100000000,16,3,4536.893844604492
100000000,16,4,4668.7586307525635
100000000,16,5,4552.515745162964
100000000,32,0,4152.167081832886
100000000,32,1,3355.8554649353027
100000000,32,2,3202.8026580810547
100000000,32,3,3397.865056991577
100000000,32,4,3486.5026473999023
100000000,32,5,3264.303684234619
100000000,64,0,4363.006114959717
100000000,64,1,2824.8720169067383
100000000,64,2,3241.6224479675293
100000000,64,3,2688.3411407470703
100000000,64,4,2972.094774246216
100000000,64,5,2796.367883682251
100000000,128,0,4314.471244812012
100000000,128,1,2949.1164684295654
100000000,128,2,3260.6616020202637
100000000,128,3,3294.921875
100000000,128,4,3199.1891860961914
100000000,128,5,3309.959650039673
100000000,256,0,8545.493602752686
100000000,256,1,5593.379497528076
100000000,256,2,4712.855577468872
100000000,256,3,4477.108955383301
100000000,256,4,4573.350191116333
100000000,256,5,4475.549221038818
100000000,512,0,13614.591121673584
100000000,512,1,9514.25576210022
100000000,512,2,9562.888145446777
100000000,512,3,9050.117492675781
100000000,512,4,9707.298755645752
100000000,512,5,9660.097599029541
