rows,world,it,time,tag,out
1000000000,1,0,194955.9199810028,a=hash u=0.9 c=mpi,603718874
1000000000,1,1,203918.74265670776,a=hash u=0.9 c=mpi,603718874
1000000000,1,2,203846.8587398529,a=hash u=0.9 c=mpi,603718874
1000000000,1,3,204278.61046791077,a=hash u=0.9 c=mpi,603718874
1000000000,1,0,204066.45131111145,a=hash u=0.9 c=mpi,603718874
1000000000,1,1,204092.50235557556,a=hash u=0.9 c=mpi,603718874
1000000000,1,2,204209.29288864136,a=hash u=0.9 c=mpi,603718874
1000000000,1,3,203690.30928611755,a=hash u=0.9 c=mpi,603718874

1000000000,1,0,193540.3082370758,a=hash u=0.9 c=mpi,603718874
1000000000,1,1,201511.86966896057,a=hash u=0.9 c=mpi,603718874
1000000000,1,2,201272.39203453064,a=hash u=0.9 c=mpi,603718874
1000000000,1,3,201118.46375465393,a=hash u=0.9 c=mpi,603718874
1000000000,1,0,211660.38131713867,a=mapred_hash u=0.9 c=mpi,603718874
1000000000,1,1,231787.85395622253,a=mapred_hash u=0.9 c=mpi,603718874
1000000000,1,2,236564.20612335205,a=mapred_hash u=0.9 c=mpi,603718874
1000000000,1,3,236701.6785144806,a=mapred_hash u=0.9 c=mpi,603718874
1000000000,2,0,117126.96874141693,a=hash u=0.9 c=mpi,603736151
1000000000,2,1,131665.4223203659,a=hash u=0.9 c=mpi,603736151
1000000000,2,2,135445.1105594635,a=hash u=0.9 c=mpi,603736151
1000000000,2,3,137664.27314281464,a=hash u=0.9 c=mpi,603736151
1000000000,2,0,233781.29863739014,a=mapred_hash u=0.9 c=mpi,603736151
1000000000,2,1,249243.60120296478,a=mapred_hash u=0.9 c=mpi,603736151
1000000000,2,2,246440.01924991608,a=mapred_hash u=0.9 c=mpi,603736151
1000000000,2,3,247951.5562057495,a=mapred_hash u=0.9 c=mpi,603736151
1000000000,4,0,63395.26391029358,a=hash u=0.9 c=mpi,603722883
1000000000,4,1,71699.57494735718,a=hash u=0.9 c=mpi,603722883
1000000000,4,2,74835.49892902374,a=hash u=0.9 c=mpi,603722883
1000000000,4,3,74615.28944969177,a=hash u=0.9 c=mpi,603722883
1000000000,4,0,130650.11245012283,a=mapred_hash u=0.9 c=mpi,603722883
1000000000,4,1,141625.39756298065,a=mapred_hash u=0.9 c=mpi,603722883
1000000000,4,2,140488.85345458984,a=mapred_hash u=0.9 c=mpi,603722883
1000000000,4,3,142162.7979874611,a=mapred_hash u=0.9 c=mpi,603722883
1000000000,8,0,34592.74438023567,a=hash u=0.9 c=mpi,603714534
1000000000,8,1,38980.84259033203,a=hash u=0.9 c=mpi,603714534
1000000000,8,2,40249.04224276543,a=hash u=0.9 c=mpi,603714534
1000000000,8,3,40805.35385012627,a=hash u=0.9 c=mpi,603714534
1000000000,8,0,78979.03713583946,a=mapred_hash u=0.9 c=mpi,603714534
1000000000,8,1,84017.67048239708,a=mapred_hash u=0.9 c=mpi,603714534
1000000000,8,2,85245.37593126297,a=mapred_hash u=0.9 c=mpi,603714534
1000000000,8,3,89916.22033715248,a=mapred_hash u=0.9 c=mpi,603714534
1000000000,16,0,15467.112094163895,a=hash u=0.9 c=mpi,603714044
1000000000,16,1,17024.9392837286,a=hash u=0.9 c=mpi,603714044
1000000000,16,2,16825.40926337242,a=hash u=0.9 c=mpi,603714044
1000000000,16,3,17270.44367790222,a=hash u=0.9 c=mpi,603714044
1000000000,16,0,38248.797833919525,a=mapred_hash u=0.9 c=mpi,603714044
1000000000,16,1,39923.014774918556,a=mapred_hash u=0.9 c=mpi,603714044
1000000000,16,2,40282.60636329651,a=mapred_hash u=0.9 c=mpi,603714044
1000000000,16,3,40688.360810279846,a=mapred_hash u=0.9 c=mpi,603714044
1000000000,32,0,7871.114253997803,a=hash u=0.9 c=mpi,603706525
1000000000,32,1,8701.680488884449,a=hash u=0.9 c=mpi,603706525
1000000000,32,2,8883.543103933334,a=hash u=0.9 c=mpi,603706525
1000000000,32,3,8824.545808136463,a=hash u=0.9 c=mpi,603706525
1000000000,32,0,19726.01692378521,a=mapred_hash u=0.9 c=mpi,603706525
1000000000,32,1,20432.819567620754,a=mapred_hash u=0.9 c=mpi,603706525
1000000000,32,2,20822.069689631462,a=mapred_hash u=0.9 c=mpi,603706525
1000000000,32,3,20539.874635636806,a=mapred_hash u=0.9 c=mpi,603706525
1000000000,64,0,4810.181424021721,a=hash u=0.9 c=mpi,603720452
1000000000,64,1,5131.541732698679,a=hash u=0.9 c=mpi,603720452
1000000000,64,2,5222.792360931635,a=hash u=0.9 c=mpi,603720452
1000000000,64,3,5284.958109259605,a=hash u=0.9 c=mpi,603720452
1000000000,64,0,11084.715954959393,a=mapred_hash u=0.9 c=mpi,603720452
1000000000,64,1,11465.642500668764,a=mapred_hash u=0.9 c=mpi,603720452
1000000000,64,2,11494.105700403452,a=mapred_hash u=0.9 c=mpi,603720452
1000000000,64,3,11543.752953410149,a=mapred_hash u=0.9 c=mpi,603720452
1000000000,128,0,2786.4849865436554,a=hash u=0.9 c=mpi,603734292
1000000000,128,1,3065.4406882822514,a=hash u=0.9 c=mpi,603734292
1000000000,128,2,3034.633195027709,a=hash u=0.9 c=mpi,603734292
1000000000,128,3,3203.8573287427425,a=hash u=0.9 c=mpi,603734292
1000000000,128,0,6301.834590733051,a=mapred_hash u=0.9 c=mpi,603734292
1000000000,128,1,6630.499547347426,a=mapred_hash u=0.9 c=mpi,603734292
1000000000,128,2,6619.431825354695,a=mapred_hash u=0.9 c=mpi,603734292
1000000000,128,3,6642.822513356805,a=mapred_hash u=0.9 c=mpi,603734292
1000000000,256,0,2162.102491594851,a=hash u=0.9 c=mpi,603737156
1000000000,256,1,2855.306204408407,a=hash u=0.9 c=mpi,603737156
1000000000,256,2,2841.9211162254214,a=hash u=0.9 c=mpi,603737156
1000000000,256,3,2793.7350403517485,a=hash u=0.9 c=mpi,603737156
1000000000,256,0,4846.054338850081,a=mapred_hash u=0.9 c=mpi,603737156
1000000000,256,1,5526.962247677147,a=mapred_hash u=0.9 c=mpi,603737156
1000000000,256,2,5550.467604771256,a=mapred_hash u=0.9 c=mpi,603737156
1000000000,256,3,5589.2876945436,a=mapred_hash u=0.9 c=mpi,603737156
1000000000,512,0,3749.2777686566114,a=hash u=0.9 c=mpi,603727924
1000000000,512,1,6749.692526180297,a=hash u=0.9 c=mpi,603727924
1000000000,512,2,6809.197307098657,a=hash u=0.9 c=mpi,603727924
1000000000,512,3,6931.209542788565,a=hash u=0.9 c=mpi,603727924
1000000000,512,0,8552.034031134099,a=mapred_hash u=0.9 c=mpi,603727924
1000000000,512,1,12413.556973915547,a=mapred_hash u=0.9 c=mpi,603727924
1000000000,512,2,11627.945168875158,a=mapred_hash u=0.9 c=mpi,603727924
1000000000,512,3,11918.545726686716,a=mapred_hash u=0.9 c=mpi,603727924
1000000000,1,0,193855.76343536377,a=hash u=0.9 c=gloo,603718874
1000000000,1,1,202276.61752700806,a=hash u=0.9 c=gloo,603718874
1000000000,1,2,202680.50360679626,a=hash u=0.9 c=gloo,603718874
1000000000,1,3,202284.17873382568,a=hash u=0.9 c=gloo,603718874
1000000000,1,0,218442.88873672485,a=mapred_hash u=0.9 c=gloo,603718874
1000000000,1,1,233515.67220687866,a=mapred_hash u=0.9 c=gloo,603718874
1000000000,1,2,235085.44278144836,a=mapred_hash u=0.9 c=gloo,603718874
1000000000,1,3,229810.41526794434,a=mapred_hash u=0.9 c=gloo,603718874
1000000000,2,0,123103.41894626617,a=hash u=0.9 c=gloo,603736151
1000000000,2,1,141286.22937202454,a=hash u=0.9 c=gloo,603736151
1000000000,2,2,140770.46930789948,a=hash u=0.9 c=gloo,603736151
1000000000,2,3,148526.3055562973,a=hash u=0.9 c=gloo,603736151
1000000000,2,0,247645.04480361938,a=mapred_hash u=0.9 c=gloo,603736151
1000000000,2,1,258311.26499176025,a=mapred_hash u=0.9 c=gloo,603736151
1000000000,2,2,257326.21610164642,a=mapred_hash u=0.9 c=gloo,603736151
1000000000,2,3,262645.17986774445,a=mapred_hash u=0.9 c=gloo,603736151
1000000000,4,0,74225.42494535446,a=hash u=0.9 c=gloo,603722883
1000000000,4,1,79574.91552829742,a=hash u=0.9 c=gloo,603722883
1000000000,4,2,82663.62184286118,a=hash u=0.9 c=gloo,603722883
1000000000,4,3,81415.15398025513,a=hash u=0.9 c=gloo,603722883
1000000000,4,0,143914.83145952225,a=mapred_hash u=0.9 c=gloo,603722883
1000000000,4,1,154004.40019369125,a=mapred_hash u=0.9 c=gloo,603722883
1000000000,4,2,152514.96279239655,a=mapred_hash u=0.9 c=gloo,603722883
1000000000,4,3,153908.6549282074,a=mapred_hash u=0.9 c=gloo,603722883
1000000000,8,0,39630.6626200676,a=hash u=0.9 c=gloo,603714534
1000000000,8,1,43647.16416597366,a=hash u=0.9 c=gloo,603714534
1000000000,8,2,44240.683287382126,a=hash u=0.9 c=gloo,603714534
1000000000,8,3,44146.38960361481,a=hash u=0.9 c=gloo,603714534
1000000000,8,0,85892.01816916466,a=mapred_hash u=0.9 c=gloo,603714534
1000000000,8,1,93442.292034626,a=mapred_hash u=0.9 c=gloo,603714534
1000000000,8,2,93356.27833008766,a=mapred_hash u=0.9 c=gloo,603714534
1000000000,8,3,91768.68948340416,a=mapred_hash u=0.9 c=gloo,603714534
1000000000,16,0,18569.549426436424,a=hash u=0.9 c=gloo,603714044
1000000000,16,1,19693.30732524395,a=hash u=0.9 c=gloo,603714044
1000000000,16,2,19829.08844947815,a=hash u=0.9 c=gloo,603714044
1000000000,16,3,20426.200956106186,a=hash u=0.9 c=gloo,603714044
1000000000,16,0,43601.02462768555,a=mapred_hash u=0.9 c=gloo,603714044
1000000000,16,1,45052.45752632618,a=mapred_hash u=0.9 c=gloo,603714044
1000000000,16,2,45341.94850921631,a=mapred_hash u=0.9 c=gloo,603714044
1000000000,16,3,45357.67009854317,a=mapred_hash u=0.9 c=gloo,603714044
1000000000,32,0,9946.717761456966,a=hash u=0.9 c=gloo,603706525
1000000000,32,1,10529.491633176804,a=hash u=0.9 c=gloo,603706525
1000000000,32,2,10946.24649733305,a=hash u=0.9 c=gloo,603706525
1000000000,32,3,10387.076936662197,a=hash u=0.9 c=gloo,603706525
1000000000,32,0,23213.696494698524,a=mapred_hash u=0.9 c=gloo,603706525
1000000000,32,1,23568.65143030882,a=mapred_hash u=0.9 c=gloo,603706525
1000000000,32,2,23767.787121236324,a=mapred_hash u=0.9 c=gloo,603706525
1000000000,32,3,23472.294740378857,a=mapred_hash u=0.9 c=gloo,603706525
1000000000,64,0,6910.712141543627,a=hash u=0.9 c=gloo,603720452
1000000000,64,1,6539.857514202595,a=hash u=0.9 c=gloo,603720452
1000000000,64,2,6719.617687165737,a=hash u=0.9 c=gloo,603720452
1000000000,64,3,6729.460138827562,a=hash u=0.9 c=gloo,603720452
1000000000,64,0,13448.236543685198,a=mapred_hash u=0.9 c=gloo,603720452
1000000000,64,1,13746.033042669296,a=mapred_hash u=0.9 c=gloo,603720452
1000000000,64,2,13907.51076862216,a=mapred_hash u=0.9 c=gloo,603720452
1000000000,64,3,13836.606901139021,a=mapred_hash u=0.9 c=gloo,603720452
1000000000,128,0,7800.433568656445,a=hash u=0.9 c=gloo,603734292
1000000000,128,1,7495.808994397521,a=hash u=0.9 c=gloo,603734292
1000000000,128,2,6115.002116188407,a=hash u=0.9 c=gloo,603734292
1000000000,128,3,6116.118725389242,a=hash u=0.9 c=gloo,603734292
