Parallelism,Stage,time(ms),Comm
32,shuffle_l,983,mpi
32,shuffle_r,890,mpi
32,join,10507,mpi
32,shuffle_l,968,mpi
32,shuffle_r,991,mpi
32,join,10973,mpi
32,shuffle_l,896,mpi
32,shuffle_r,1213,mpi
32,join,11238,mpi
32,shuffle_l,1050,mpi
32,shuffle_r,1277,mpi
32,join,11213,mpi
32,shuffle_l,1279,mpi
32,shuffle_r,1033,mpi
32,join,10985,mpi
32,shuffle_l,1354,mpi
32,shuffle_r,1073,mpi
32,join,11162,mpi
32,shuffle_l,1367,mpi
32,shuffle_r,1058,mpi
32,join,11321,mpi
32,shuffle_l,1340,mpi
32,shuffle_r,1075,mpi
32,join,10960,mpi
32,shuffle_l,1354,mpi
32,shuffle_r,1067,mpi
32,join,11199,mpi
32,shuffle_l,1319,mpi
32,shuffle_r,1091,mpi
32,join,11092,mpi
64,shuffle_l,850,mpi
64,shuffle_r,780,mpi
64,join,5275,mpi
64,shuffle_l,858,mpi
64,shuffle_r,840,mpi
64,join,5550,mpi
64,shuffle_l,862,mpi
64,shuffle_r,920,mpi
64,join,5516,mpi
64,shuffle_l,852,mpi
64,shuffle_r,767,mpi
64,join,5418,mpi
64,shuffle_l,835,mpi
64,shuffle_r,812,mpi
64,join,5538,mpi
64,shuffle_l,845,mpi
64,shuffle_r,868,mpi
64,join,5432,mpi
64,shuffle_l,844,mpi
64,shuffle_r,781,mpi
64,join,5484,mpi
64,shuffle_l,1043,mpi
64,shuffle_r,673,mpi
64,join,5532,mpi
64,shuffle_l,838,mpi
64,shuffle_r,847,mpi
64,join,5479,mpi
64,shuffle_l,832,mpi
64,shuffle_r,925,mpi
64,join,5454,mpi
128,shuffle_l,681,mpi
128,shuffle_r,760,mpi
128,join,2624,mpi
128,shuffle_l,715,mpi
128,shuffle_r,783,mpi
128,join,2653,mpi
128,shuffle_l,741,mpi
128,shuffle_r,872,mpi
128,join,2811,mpi
128,shuffle_l,795,mpi
128,shuffle_r,890,mpi
128,join,2706,mpi
128,shuffle_l,728,mpi
128,shuffle_r,828,mpi
128,join,2752,mpi
128,shuffle_l,785,mpi
128,shuffle_r,705,mpi
128,join,2775,mpi
128,shuffle_l,808,mpi
128,shuffle_r,906,mpi
128,join,2684,mpi
128,shuffle_l,738,mpi
128,shuffle_r,884,mpi
128,join,2754,mpi
128,shuffle_l,780,mpi
128,shuffle_r,882,mpi
128,join,2730,mpi
128,shuffle_l,799,mpi
128,shuffle_r,728,mpi
128,join,2731,mpi
256,shuffle_l,744,mpi
256,shuffle_r,752,mpi
256,join,1305,mpi
256,shuffle_l,1296,mpi
256,shuffle_r,1219,mpi
256,join,1311,mpi
256,shuffle_l,1182,mpi
256,shuffle_r,1151,mpi
256,join,1321,mpi
256,shuffle_l,1274,mpi
256,shuffle_r,1201,mpi
256,join,1327,mpi
256,shuffle_l,1159,mpi
256,shuffle_r,1267,mpi
256,join,1330,mpi
256,shuffle_l,1153,mpi
256,shuffle_r,1217,mpi
256,join,1326,mpi
256,shuffle_l,1116,mpi
256,shuffle_r,1240,mpi
256,join,1371,mpi
256,shuffle_l,1132,mpi
256,shuffle_r,1128,mpi
256,join,1316,mpi
256,shuffle_l,1098,mpi
256,shuffle_r,1320,mpi
256,join,1310,mpi
256,shuffle_l,1142,mpi
256,shuffle_r,1146,mpi
256,join,1347,mpi
512,shuffle_l,1943,mpi
512,shuffle_r,3101,mpi
512,join,729,mpi
512,shuffle_l,3259,mpi
512,shuffle_r,3366,mpi
512,join,717,mpi
512,shuffle_l,3039,mpi
512,shuffle_r,3407,mpi
512,join,705,mpi
512,shuffle_l,3114,mpi
512,shuffle_r,3462,mpi
512,join,723,mpi
512,shuffle_l,3339,mpi
512,shuffle_r,3199,mpi
512,join,750,mpi
512,shuffle_l,3309,mpi
512,shuffle_r,3384,mpi
512,join,704,mpi
512,shuffle_l,3322,mpi
512,shuffle_r,3521,mpi
512,join,753,mpi
512,shuffle_l,3396,mpi
512,shuffle_r,3299,mpi
512,join,742,mpi
512,shuffle_l,3258,mpi
512,shuffle_r,3569,mpi
512,join,688,mpi
512,shuffle_l,3279,mpi
512,shuffle_r,3239,mpi
512,join,724,mpi
32,total_time,12648,mpi
32,total_time,13093,mpi
32,total_time,13349,mpi
32,total_time,13589,mpi
32,total_time,13662,mpi
32,total_time,13592,mpi
32,total_time,13769,mpi
32,total_time,13516,mpi
32,total_time,13622,mpi
32,total_time,13572,mpi
64,total_time,6943,mpi
64,total_time,7393,mpi
64,total_time,7417,mpi
64,total_time,7292,mpi
64,total_time,7362,mpi
64,total_time,7268,mpi
64,total_time,7236,mpi
64,total_time,7480,mpi
64,total_time,7255,mpi
64,total_time,7263,mpi
128,total_time,4133,mpi
128,total_time,4305,mpi
128,total_time,4501,mpi
128,total_time,4468,mpi
128,total_time,4426,mpi
128,total_time,4415,mpi
128,total_time,4446,mpi
128,total_time,4402,mpi
128,total_time,4447,mpi
128,total_time,4355,mpi
256,total_time,2956,mpi
256,total_time,3883,mpi
256,total_time,3693,mpi
256,total_time,3877,mpi
256,total_time,3835,mpi
256,total_time,3752,mpi
256,total_time,3773,mpi
256,total_time,3715,mpi
256,total_time,3886,mpi
256,total_time,3745,mpi
512,total_time,5849,mpi
512,total_time,7395,mpi
