Parallelism,Stage,time(ms),Comm
32,shuffle_l,795,mpi
32,shuffle_r,709,mpi
32,shuffle_t,1504,mpi
32,join,8034,mpi
32,shuffle_l,897,mpi
32,shuffle_r,826,mpi
32,shuffle_t,1723,mpi
32,join,8263,mpi
32,shuffle_l,1026,mpi
32,shuffle_r,797,mpi
32,shuffle_t,1824,mpi
32,join,8548,mpi
32,shuffle_l,983,mpi
32,shuffle_r,918,mpi
32,shuffle_t,1901,mpi
32,join,8461,mpi
32,shuffle_l,1101,mpi
32,shuffle_r,757,mpi
32,shuffle_t,1859,mpi
32,join,8190,mpi
32,shuffle_l,1070,mpi
32,shuffle_r,857,mpi
32,shuffle_t,1929,mpi
32,join,8363,mpi
64,shuffle_l,1318,mpi
64,shuffle_r,1270,mpi
64,shuffle_t,2588,mpi
64,join,8032,mpi
64,shuffle_l,1642,mpi
64,shuffle_r,1359,mpi
64,shuffle_t,3002,mpi
64,join,8368,mpi
64,shuffle_l,1558,mpi
64,shuffle_r,1452,mpi
64,shuffle_t,3011,mpi
64,join,8679,mpi
64,shuffle_l,1641,mpi
64,shuffle_r,1427,mpi
64,shuffle_t,3069,mpi
64,join,8779,mpi
64,shuffle_l,1600,mpi
64,shuffle_r,1394,mpi
64,shuffle_t,2995,mpi
64,join,8444,mpi
64,shuffle_l,1634,mpi
64,shuffle_r,1455,mpi
64,shuffle_t,3090,mpi
64,join,8417,mpi
128,shuffle_l,2017,mpi
128,shuffle_r,1981,mpi
128,shuffle_t,3999,mpi
128,join,8147,mpi
128,shuffle_l,2441,mpi
128,shuffle_r,2031,mpi
128,shuffle_t,4472,mpi
128,join,8398,mpi
128,shuffle_l,2456,mpi
128,shuffle_r,2253,mpi
128,shuffle_t,4709,mpi
128,join,8701,mpi
128,shuffle_l,2386,mpi
128,shuffle_r,2191,mpi
128,shuffle_t,4578,mpi
128,join,8554,mpi
128,shuffle_l,2490,mpi
128,shuffle_r,2137,mpi
128,shuffle_t,4628,mpi
128,join,8709,mpi
128,shuffle_l,2425,mpi
128,shuffle_r,2180,mpi
128,shuffle_t,4606,mpi
128,join,8493,mpi
128,shuffle_l,3859,mpi
128,shuffle_r,3928,mpi
128,shuffle_t,7788,mpi
128,join,8529,mpi
256,shuffle_l,4311,mpi
256,shuffle_r,4123,mpi
256,shuffle_t,8435,mpi
256,join,8696,mpi
256,shuffle_l,4371,mpi
256,shuffle_r,4179,mpi
256,shuffle_t,8551,mpi
256,join,8778,mpi
256,shuffle_l,4307,mpi
256,shuffle_r,4230,mpi
256,shuffle_t,8538,mpi
256,join,9076,mpi
256,shuffle_l,4442,mpi
256,shuffle_r,4093,mpi
256,shuffle_t,8536,mpi
256,join,8709,mpi
256,shuffle_l,4648,mpi
256,shuffle_r,4147,mpi
256,shuffle_t,8796,mpi
256,join,8734,mpi
256,shuffle_l,7381,mpi
256,shuffle_r,8040,mpi
256,shuffle_t,15422,mpi
256,join,11130,mpi
512,shuffle_l,10200,mpi
512,shuffle_r,9114,mpi
512,shuffle_t,19315,mpi
512,join,10789,mpi
512,shuffle_l,9431,mpi
512,shuffle_r,8835,mpi
512,shuffle_t,18266,mpi
512,join,11095,mpi
512,shuffle_l,9557,mpi
512,shuffle_r,9089,mpi
512,shuffle_t,18647,mpi
512,join,11036,mpi
512,shuffle_l,9420,mpi
512,shuffle_r,9240,mpi
512,shuffle_t,18661,mpi
512,join,10674,mpi
512,shuffle_l,9304,mpi
512,shuffle_r,10075,mpi
512,shuffle_t,19379,mpi
512,join,11155,mpi
32,total_time,10088.19732,mpi
32,total_time,10375.04093,mpi
32,total_time,10666.23804,mpi
32,total_time,10450.66721,mpi
32,total_time,10553.80816,mpi
32,total_time,10405.80564,mpi
64,total_time,11034.10186,mpi
64,total_time,11962.42722,mpi
64,total_time,11887.94269,mpi
64,total_time,12110.71222,mpi
64,total_time,11827.95903,mpi
64,total_time,11836.04797,mpi
128,total_time,12814.91792,mpi
128,total_time,13208.16305,mpi
128,total_time,13701.46462,mpi
128,total_time,13406.45485,mpi
128,total_time,13613.66048,mpi
128,total_time,13544.73806,mpi
256,total_time,16779.30637,mpi
256,total_time,17889.74402,mpi
256,total_time,18010.97354,mpi
256,total_time,17932.93571,mpi
256,total_time,17981.51082,mpi
256,total_time,18197.15322,mpi
512,total_time,26726.83401,mpi
512,total_time,30824.30919,mpi
512,total_time,29833.08401,mpi
512,total_time,30215.86446,mpi
512,total_time,30384.34266,mpi
512,total_time,31020.77025,mpi
32,shuffle_l,1803,gloo
32,shuffle_r,1592,gloo
32,shuffle_t,3396,gloo
32,join,8097,gloo
32,shuffle_l,1644,gloo
32,shuffle_r,1962,gloo
32,shuffle_t,3607,gloo
32,join,8789,gloo
32,shuffle_l,1860,gloo
32,shuffle_r,1653,gloo
32,shuffle_t,3514,gloo
32,join,8535,gloo
32,shuffle_l,1700,gloo
32,shuffle_r,1802,gloo
32,shuffle_t,3502,gloo
32,join,8312,gloo
32,shuffle_l,1888,gloo
32,shuffle_r,1774,gloo
32,shuffle_t,3662,gloo
32,join,8505,gloo
32,shuffle_l,1861,gloo
32,shuffle_r,1823,gloo
32,shuffle_t,3684,gloo
32,join,8324,gloo
64,shuffle_l,2516,gloo
64,shuffle_r,2496,gloo
64,shuffle_t,5013,gloo
64,join,8194,gloo
64,shuffle_l,2666,gloo
64,shuffle_r,2611,gloo
64,shuffle_t,5278,gloo
64,join,8416,gloo
64,shuffle_l,2783,gloo
64,shuffle_r,2587,gloo
64,shuffle_t,5371,gloo
64,join,8594,gloo
64,shuffle_l,2889,gloo
64,shuffle_r,2500,gloo
64,shuffle_t,5389,gloo
64,join,8626,gloo
64,shuffle_l,2673,gloo
64,shuffle_r,2650,gloo
64,shuffle_t,5324,gloo
64,join,8676,gloo
64,shuffle_l,2606,gloo
64,shuffle_r,2817,gloo
64,shuffle_t,5424,gloo
64,join,8619,gloo
128,shuffle_l,7582,gloo
128,shuffle_r,1522,gloo
128,shuffle_t,9105,gloo
128,join,8214,gloo
128,shuffle_l,4257,gloo
128,shuffle_r,4488,gloo
128,shuffle_t,8745,gloo
128,join,8783,gloo
128,shuffle_l,4269,gloo
128,shuffle_r,4739,gloo
128,shuffle_t,9009,gloo
128,join,8629,gloo
128,shuffle_l,4222,gloo
128,shuffle_r,4031,gloo
128,shuffle_t,8253,gloo
128,join,8480,gloo
128,shuffle_l,4197,gloo
128,shuffle_r,5905,gloo
128,shuffle_t,10103,gloo
128,join,8465,gloo
256,shuffle_l,7080,gloo
256,shuffle_r,7685,gloo
256,shuffle_t,14766,gloo
256,join,8993,gloo
256,shuffle_l,8809,gloo
256,shuffle_r,8385,gloo
256,shuffle_t,17195,gloo
256,join,8982,gloo
256,shuffle_l,11591,gloo
256,shuffle_r,9241,gloo
256,shuffle_t,20833,gloo
256,join,8735,gloo
256,shuffle_l,7514,gloo
256,shuffle_r,9937,gloo
256,shuffle_t,17452,gloo
256,join,9038,gloo
512,shuffle_l,15846,gloo
512,shuffle_r,21649,gloo
512,shuffle_t,37495,gloo
512,join,10588,gloo
512,shuffle_l,17823,gloo
512,shuffle_r,21379,gloo
512,shuffle_t,39203,gloo
512,join,11038,gloo
512,shuffle_l,15496,gloo
512,shuffle_r,21565,gloo
512,shuffle_t,37062,gloo
512,join,11657,gloo
512,shuffle_l,20698,gloo
512,shuffle_r,18523,gloo
512,shuffle_t,39221,gloo
512,join,11813,gloo
32,total_time,12192.91992,gloo
32,total_time,12437.47485,gloo
32,total_time,12296.24509,gloo
32,total_time,12119.81863,gloo
32,total_time,12269.41904,gloo
32,total_time,12193.42601,gloo
64,total_time,13499.42999,gloo
64,total_time,14319.71782,gloo
64,total_time,14118.18821,gloo
64,total_time,14018.61291,gloo
64,total_time,14215.22188,gloo
64,total_time,14044.93907,gloo
128,total_time,17577.94266,gloo
128,total_time,18033.5866,gloo
128,total_time,18439.40918,gloo
128,total_time,17832.36743,gloo
128,total_time,18852.4511,gloo
256,total_time,25170.01183,gloo
256,total_time,26677.48275,gloo
256,total_time,30461.4847,gloo
256,total_time,27145.47124,gloo
512,total_time,50094.28814,gloo
512,total_time,51254.08711,gloo
512,total_time,49058.69345,gloo
512,total_time,51206.81029,gloo
