rows,world,it,time
# 1000000000,1,0,1237123.465538025
# 1000000000,1,1,1403126.583814621
# 1000000000,1,2,1425016.4587497711
# 1000000000,1,3,1440664.289712906
# 1000000000,1,4,1438683.3322048187
# 1000000000,2,0,1422167
# 1000000000,2,1,1225297
# 1000000000,4,0,1014154.8318862915
# 1000000000,4,1,1029215.0111198425
# 1000000000,8,0,1054711.1077308655
# 1000000000,8,1,1244143.0480480194
# 1000000000,16,0,1005094.1984653473
# 1000000000,16,1,1257850.6231307983
# 1000000000,32,0,1489983.0844402313
# 1000000000,32,1,1239226.897239685
# 1000000000,64,0,1046389.4503116608
# 1000000000,64,1,891110.1219654083
# 1000000000,128,0,1322377.1677017212
# 1000000000,128,1,1367427.6976585388
# 1000000000,256,0,1429158.361196518
# 1000000000,256,1,1376361.4370822906
# 1000000000,512,0,1391210.0586891174
# 1000000000,512,1,1187437.2231960297

# # new run 
# 1000000000,64,0,1338740.6494617462
# 1000000000,64,1,953853.0702590942
# 1000000000,64,2,1405371.7849254608
# 1000000000,64,3,1423536.569595337
# 1000000000,128,0,1383392.2727108002
# 1000000000,128,1,1012602.6482582092
# 1000000000,128,2,1251086.207151413
# 1000000000,128,3,1540092.235326767
# 1000000000,256,0,1440560.6005191803
# 1000000000,256,1,1224367.4006462097
# 1000000000,256,2,1097053.8482666016
# 1000000000,256,3,1347593.558549881
# 1000000000,512,0,1305711.1358642578
# 1000000000,512,1,1367621.7918395996
# 1000000000,512,2,1530976.87125206
# 1000000000,512,3,1456285.6340408325
# 1000000000,1,0,1305063.6429786682
# 1000000000,1,1,1065280.057668686
# 1000000000,1,2,814901.4930725098
# 1000000000,1,3,1344718.5168266296
# 1000000000,2,0,1390673.7554073334
# 1000000000,2,1,1394241.239786148
# 1000000000,2,2,897903.7992954254
# 1000000000,2,3,1232278.2464027405
# 1000000000,4,0,1402909.4803333282
# 1000000000,4,1,1198022.0658779144
# 1000000000,4,2,1065976.188659668
# 1000000000,4,3,1192083.3857059479
# 1000000000,8,0,961996.3119029999
# 1000000000,8,1,1333248.1889724731
# 1000000000,8,2,1338176.79977417
# 1000000000,8,3,1469565.6609535217
# 1000000000,16,0,1452587.690114975
# 1000000000,16,1,1409394.5741653442
# 1000000000,16,2,1442146.1772918701
# 1000000000,16,3,1475300.7357120514
# 1000000000,32,0,1430779.7384262085
# 1000000000,32,1,1454107.5806617737
# 1000000000,32,2,1392733.4039211273
# 1000000000,32,3,1369845.427274704

1000000000,512,0,805079.0312290192
1000000000,512,1,939525.1009464264
# 1000000000,512,2,961777.0941257477
1000000000,512,3,922612.5259399414
1000000000,512,4,836532.078742981
1000000000,256,0,804214.8721218109
1000000000,256,1,913698.5883712769
# 1000000000,256,2,943497.1404075623
1000000000,256,3,935423.6190319061
1000000000,256,4,925844.8357582092
1000000000,128,0,836101.972579956
1000000000,128,1,800710.0601196289
1000000000,128,2,807699.2156505585
# 1000000000,128,3,1124133.9056491852
# 1000000000,128,4,1100996.417760849
# 1000000000,64,0,1236257.9214572906
1000000000,64,1,1080692.369222641
1000000000,64,2,1113917.578458786
1000000000,64,3,853537.4698638916
1000000000,64,4,810625.5962848663
# 1000000000,32,0,963612.076997757
1000000000,32,1,840779.0977954865
1000000000,32,2,833002.9830932617
1000000000,32,3,840229.471206665
1000000000,32,4,829865.7689094543
1000000000,16,0,825619.5702552795
# 1000000000,16,1,934618.9458370209
1000000000,16,2,897798.8226413727
1000000000,16,3,829552.5243282318
1000000000,16,4,870369.7879314423
1000000000,8,0,832428.4257888794
1000000000,8,1,889319.2505836487
1000000000,8,2,895258.8777542114
1000000000,8,3,815913.1240844727
1000000000,8,4,815415.2607917786
1000000000,4,0,822310.3365898132
1000000000,4,1,877136.4705562592
1000000000,4,2,839006.9324970245
1000000000,4,3,955290.6763553619
# 1000000000,4,4,1056758.8033676147
# 1000000000,2,0,896349.5769500732
1000000000,2,1,805727.8778553009
1000000000,2,2,807028.5265445709
1000000000,2,3,855573.9958286285
1000000000,2,4,809382.0259571075
1000000000,1,0,907869.4055080414
1000000000,1,1,1066351.7479896545
1000000000,1,2,1059877.8710365295
# 1000000000,1,3,1083720.6718921661
1000000000,1,4,1060413.9454364777
