rows,world,it,time
1000000,32,0,3936.936616897583
1000000,32,1,6396.639823913574
1000000,32,2,656.7738056182861
1000000,32,3,647.8545665740967
1000000,32,4,814.7461414337158
1000000,16,0,2877.6564598083496
1000000,16,1,1784.766435623169
1000000,16,2,811.9239807128906
1000000,16,3,702.1565437316895
1000000,16,4,763.6265754699707
1000000000,512,0,866538.8567447662
1000000000,512,1,1333093.7459468842
1000000000,512,2,1310322.2568035126
1000000000,512,3,827979.7518253326
1000000000,512,4,845969.7549343109
1000000000,256,0,831726.069688797
1000000000,256,1,1062173.1185913086
1000000000,256,2,804024.0395069122
1000000000,256,3,830800.389289856
1000000000,256,4,1316649.0256786346
1000000000,128,0,758205.6186199188
1000000000,128,1,799856.2319278717
1000000000,128,2,996956.1655521393
1000000000,128,3,784081.7713737488
1000000000,128,4,864743.6237335205
1000000000,64,0,897413.7189388275
1000000000,64,1,780147.7873325348
1000000000,64,2,823041.131734848
1000000000,64,3,825310.4457855225
1000000000,64,4,917492.4714565277
1000000000,32,0,1073792.4587726593
1000000000,32,1,1219739.369392395
1000000000,32,2,1253511.6164684296
1000000000,32,3,1288616.8484687805
1000000000,32,4,1300702.1090984344
1000000000,16,0,816912.7652645111
1000000000,16,1,771429.845571518
1000000000,16,2,762367.8164482117
1000000000,16,3,831121.1194992065
1000000000,16,4,854864.1464710236
1000000000,8,0,1265797.6536750793
1000000000,8,1,867279.8397541046
1000000000,8,2,1220490.2424812317
1000000000,8,3,1257535.8254909515
1000000000,8,4,1249512.4979019165
1000000000,4,0,1139349.2436408997
1000000000,4,1,1139699.2464065552
1000000000,4,2,1148572.8890895844
1000000000,4,3,1151330.0094604492
1000000000,4,4,1203114.8529052734
1000000000,2,0,1177854.7539710999
1000000000,2,1,1189838.0055427551
1000000000,2,2,1175685.7097148895
1000000000,2,3,1223979.5622825623
1000000000,2,4,1258785.752773285
1000000000,1,0,859546.2319850922
1000000000,1,1,1263755.607843399
1000000000,1,2,1274945.3573226929
1000000000,1,3,1287053.319454193
1000000000,1,4,1219082.478761673
