rows,world,it,time
1000000,16,0,1144.9265480041504
1000000,16,1,788.9692783355713
1000000,16,2,283.3836078643799
1000000,16,3,6261.423110961914
1000000,16,0,1144.9265480041504
1000000,16,1,788.9692783355713
1000000,16,2,283.3836078643799
1000000,16,3,6261.423110961914
1000000,32,0,1422.9764938354492
1000000,32,1,824.2051601409912
1000000,32,2,291.8813228607178
1000000,32,3,319.63324546813965
1000000,32,0,1422.9764938354492
1000000,32,1,824.2051601409912
1000000,32,2,291.8813228607178
1000000,32,3,319.63324546813965
1000000,32,0,1115.9770488739014
1000000,32,1,288.36846351623535
1000000,32,2,683.5281848907471
1000000,32,3,1395.655870437622
1000000,32,0,1115.9770488739014
1000000,32,1,288.36846351623535
1000000,32,2,683.5281848907471
1000000,32,3,1395.655870437622
1000000,64,0,1032.3169231414795
1000000,64,1,530.8177471160889
1000000,64,2,497.15495109558105
1000000,64,3,474.3685722351074
1000000,64,0,1032.3169231414795
1000000,64,1,530.8177471160889
1000000,64,2,497.15495109558105
1000000,64,3,474.3685722351074
1000000,32,0,738.9938831329346
1000000,32,1,1255.1543712615967
1000000,32,2,357.2196960449219
1000000,32,3,362.87546157836914
1000000,32,0,738.9938831329346
1000000,32,1,1255.1543712615967
1000000,32,2,357.2196960449219
1000000,32,3,362.87546157836914
# new

1000000000,1,0,692837.1028900146
1000000000,1,1,747119.7862625122
1000000000,1,2,728256.0441493988
1000000000,1,3,735618.3614730835
1000000000,1,4,751939.1257762909
1000000000,2,0,361894.437789917
1000000000,2,1,404929.7652244568
1000000000,2,2,416642.09175109863
1000000000,2,3,404939.34893608093
1000000000,2,4,406459.29980278015
1000000000,4,0,169138.7071609497
1000000000,4,1,177758.29410552979
1000000000,4,2,187396.83866500854
1000000000,4,3,193087.57090568542
1000000000,4,4,194482.60951042175
1000000000,8,0,96061.22040748596
1000000000,8,1,94991.52541160583
1000000000,8,2,95854.47096824646
1000000000,8,3,98379.88591194153
1000000000,8,4,92807.66081809998
1000000000,16,0,72838.02700042725
1000000000,16,1,59460.5815410614
1000000000,16,2,59339.723348617554
1000000000,16,3,65671.91290855408
1000000000,16,4,60432.83724784851
1000000000,32,0,40010.03384590149
1000000000,32,1,36103.02138328552
1000000000,32,2,34852.14447975159
1000000000,32,3,36113.85083198547
1000000000,32,4,36082.369327545166
1000000000,64,0,29644.965648651123
1000000000,64,1,24510.90145111084
1000000000,64,2,20069.377183914185
1000000000,64,3,24609.497785568237
1000000000,64,4,21136.97361946106
1000000000,64,0,29644.965648651123

1000000000,128,0,25972.490549087524
1000000000,128,1,20568.9594745636
1000000000,128,2,20860.219478607178
1000000000,128,3,20060.986757278442
1000000000,128,4,19393.230438232422
1000000000,256,0,33237.772941589355
1000000000,256,1,20147.050619125366
1000000000,256,2,21156.384706497192
1000000000,256,3,18619.619131088257
1000000000,256,4,17221.815824508667
1000000000,512,0,132612.4758720398
1000000000,512,1,55047.11937904358
1000000000,512,2,61016.3209438324
1000000000,512,3,55339.38455581665
1000000000,512,4,57232.988357543945
