rows,world,it,time,tag,out
1000000,1,0,96.92263603210449,a=initial u=0.9 c=mpi,1000000
1000000,1,1,94.53701972961426,a=initial u=0.9 c=mpi,1000000
1000000,1,2,94.33794021606445,a=initial u=0.9 c=mpi,1000000
1000000,1,3,94.23279762268066,a=initial u=0.9 c=mpi,1000000
1000000,2,0,65.58585166931152,a=initial u=0.9 c=mpi,1000000
1000000,2,1,65.84537029266357,a=initial u=0.9 c=mpi,1000000
1000000,2,2,73.03035259246826,a=initial u=0.9 c=mpi,1000000
1000000,2,3,57.01470375061035,a=initial u=0.9 c=mpi,1000000
1000000,1,0,97.3043441772461,a=initial u=0.9 c=gloo,1000000
1000000,1,1,94.54679489135742,a=initial u=0.9 c=gloo,1000000
1000000,1,2,94.20585632324219,a=initial u=0.9 c=gloo,1000000
1000000,1,3,94.20108795166016,a=initial u=0.9 c=gloo,1000000
1000000,1,0,98.89578819274902,a=initial u=0.9 c=gloo,1000000
1000000,1,1,95.61967849731445,a=initial u=0.9 c=gloo,1000000
1000000,1,2,94.15197372436523,a=initial u=0.9 c=gloo,1000000
1000000,1,3,94.14386749267578,a=initial u=0.9 c=gloo,1000000
1000000,2,0,88.54734897613525,a=initial u=0.9 c=gloo,1000000
1000000,2,1,71.81036472320557,a=initial u=0.9 c=gloo,1000000
1000000,2,2,63.36534023284912,a=initial u=0.9 c=gloo,1000000
1000000,2,3,60.225844383239746,a=initial u=0.9 c=gloo,1000000
1000000000,1,0,296654.0198326111,a=initial u=0.9 c=mpi,1000000000
1000000000,1,1,298215.62576293945,a=initial u=0.9 c=mpi,1000000000
1000000000,1,2,299986.77492141724,a=initial u=0.9 c=mpi,1000000000
1000000000,1,3,308251.1830329895,a=initial u=0.9 c=mpi,1000000000
1000000000,1,0,298234.0581417084,a=initial u=0.9 c=gloo,1000000000
1000000000,1,1,299233.93392562866,a=initial u=0.9 c=gloo,1000000000
1000000000,1,2,301157.94229507446,a=initial u=0.9 c=gloo,1000000000
1000000000,1,3,309854.6257019043,a=initial u=0.9 c=gloo,1000000000
1000000000,1,0,297541.68224334717,a=regular u=0.9 c=mpi,1000000000
1000000000,1,1,299016.44802093506,a=regular u=0.9 c=mpi,1000000000
1000000000,1,2,300720.0434207916,a=regular u=0.9 c=mpi,1000000000
1000000000,1,3,309369.0164089203,a=regular u=0.9 c=mpi,1000000000
1000000000,1,0,297568.4959888458,a=regular u=0.9 c=gloo,1000000000
1000000000,1,1,299243.29137802124,a=regular u=0.9 c=gloo,1000000000
1000000000,1,2,300711.3320827484,a=regular u=0.9 c=gloo,1000000000
1000000000,1,3,309878.65924835205,a=regular u=0.9 c=gloo,1000000000
1000000,2,0,86.72940731048584,a=regular u=0.9 c=gloo,1000000
1000000,2,1,74.84102249145508,a=regular u=0.9 c=gloo,1000000
1000000,2,2,73.55046272277832,a=regular u=0.9 c=gloo,1000000
1000000,2,3,74.1947889328003,a=regular u=0.9 c=gloo,1000000
1000000000,2,0,146935.26673316956,a=initial u=0.9 c=mpi,1000000000
1000000000,2,1,220403.54144573212,a=initial u=0.9 c=mpi,1000000000
1000000000,2,2,219342.4859046936,a=initial u=0.9 c=mpi,1000000000
1000000000,2,3,219664.13581371307,a=initial u=0.9 c=mpi,1000000000
1000000000,2,0,149147.69101142883,a=initial u=0.9 c=mpi,1000000000
1000000000,2,1,213728.64139080048,a=initial u=0.9 c=mpi,1000000000
1000000000,2,2,217986.28425598145,a=initial u=0.9 c=mpi,1000000000
1000000000,2,3,219724.21729564667,a=initial u=0.9 c=mpi,1000000000
1000000000,4,0,71750.99569559097,a=initial u=0.9 c=mpi,1000000000
1000000000,4,1,81797.13481664658,a=initial u=0.9 c=mpi,1000000000
1000000000,4,2,99622.92993068695,a=initial u=0.9 c=mpi,1000000000
1000000000,4,3,98642.0681476593,a=initial u=0.9 c=mpi,1000000000
1000000000,8,0,33240.348637104034,a=initial u=0.9 c=mpi,1000000000
1000000000,8,1,38487.36372590065,a=initial u=0.9 c=mpi,1000000000
1000000000,8,2,45607.73837566376,a=initial u=0.9 c=mpi,1000000000
1000000000,8,3,44835.613489151,a=initial u=0.9 c=mpi,1000000000
1000000000,16,0,15827.355414628983,a=initial u=0.9 c=mpi,1000000000
1000000000,16,1,19815.929114818573,a=initial u=0.9 c=mpi,1000000000
1000000000,16,2,20797.558575868607,a=initial u=0.9 c=mpi,1000000000
1000000000,16,3,20808.08810889721,a=initial u=0.9 c=mpi,1000000000
1000000000,32,0,8045.9592044353485,a=initial u=0.9 c=mpi,1000000000
1000000000,32,1,9783.350765705109,a=initial u=0.9 c=mpi,1000000000
1000000000,32,2,10100.292965769768,a=initial u=0.9 c=mpi,1000000000
1000000000,32,3,9854.066677391529,a=initial u=0.9 c=mpi,1000000000
1000000000,64,0,4215.803511440754,a=initial u=0.9 c=mpi,1000000000
1000000000,64,1,4777.106985449791,a=initial u=0.9 c=mpi,1000000000
1000000000,64,2,4959.562912583351,a=initial u=0.9 c=mpi,1000000000
1000000000,64,3,5035.313434898853,a=initial u=0.9 c=mpi,1000000000
1000000000,128,0,2292.2812905162573,a=initial u=0.9 c=mpi,1000000000
1000000000,128,1,2530.5084995925426,a=initial u=0.9 c=mpi,1000000000
1000000000,128,2,2802.4959564208984,a=initial u=0.9 c=mpi,1000000000
1000000000,128,3,2806.213030591607,a=initial u=0.9 c=mpi,1000000000
1000000000,256,0,1572.3121985793114,a=initial u=0.9 c=mpi,1000000000
1000000000,256,1,1932.4111230671406,a=initial u=0.9 c=mpi,1000000000
1000000000,256,2,2043.8544349744916,a=initial u=0.9 c=mpi,1000000000
1000000000,256,3,2073.1705762445927,a=initial u=0.9 c=mpi,1000000000
1000000000,512,0,3361.463281791657,a=initial u=0.9 c=mpi,1000000000
1000000000,512,1,2179.8570291139185,a=initial u=0.9 c=mpi,1000000000
1000000000,512,2,3665.345599409193,a=initial u=0.9 c=mpi,1000000000
1000000000,512,3,3795.5995751544833,a=initial u=0.9 c=mpi,1000000000
1000000000,2,0,152214.03324604034,a=initial u=0.9 c=gloo,1000000000
1000000000,2,1,220818.4210062027,a=initial u=0.9 c=gloo,1000000000
1000000000,2,2,223678.94291877747,a=initial u=0.9 c=gloo,1000000000
1000000000,2,3,226526.1491537094,a=initial u=0.9 c=gloo,1000000000
1000000000,4,0,75537.98919916153,a=initial u=0.9 c=gloo,1000000000
1000000000,4,1,86996.52421474457,a=initial u=0.9 c=gloo,1000000000
1000000000,4,2,103979.6912074089,a=initial u=0.9 c=gloo,1000000000
1000000000,4,3,102804.791867733,a=initial u=0.9 c=gloo,1000000000
1000000000,8,0,35827.99816131592,a=initial u=0.9 c=gloo,1000000000
1000000000,8,1,40440.665513277054,a=initial u=0.9 c=gloo,1000000000
1000000000,8,2,46961.80975437164,a=initial u=0.9 c=gloo,1000000000
1000000000,8,3,47314.86150622368,a=initial u=0.9 c=gloo,1000000000
1000000000,16,0,17680.861949920654,a=initial u=0.9 c=gloo,1000000000
1000000000,16,1,21034.676268696785,a=initial u=0.9 c=gloo,1000000000
1000000000,16,2,22338.538765907288,a=initial u=0.9 c=gloo,1000000000
1000000000,16,3,21861.72464489937,a=initial u=0.9 c=gloo,1000000000
1000000000,32,0,9247.072666883469,a=initial u=0.9 c=gloo,1000000000
1000000000,32,1,10806.023821234703,a=initial u=0.9 c=gloo,1000000000
1000000000,32,2,10827.61961221695,a=initial u=0.9 c=gloo,1000000000
1000000000,32,3,11028.81733328104,a=initial u=0.9 c=gloo,1000000000
1000000000,64,0,5455.558765679598,a=initial u=0.9 c=gloo,1000000000
1000000000,64,1,5959.16897803545,a=initial u=0.9 c=gloo,1000000000
1000000000,64,2,5978.592377156019,a=initial u=0.9 c=gloo,1000000000
1000000000,64,3,6413.679473102093,a=initial u=0.9 c=gloo,1000000000
1000000000,128,0,3826.3645991683006,a=initial u=0.9 c=gloo,1000000000
1000000000,128,1,3824.3672195822,a=initial u=0.9 c=gloo,1000000000
1000000000,128,2,3860.9021678566933,a=initial u=0.9 c=gloo,1000000000
1000000000,128,3,3998.1252811849117,a=initial u=0.9 c=gloo,1000000000
1000000000,256,0,4442.244841717184,a=initial u=0.9 c=gloo,1000000000
1000000000,256,1,3381.597454659641,a=initial u=0.9 c=gloo,1000000000
1000000000,256,2,3411.968072876334,a=initial u=0.9 c=gloo,1000000000
1000000000,256,3,3852.3245230317116,a=initial u=0.9 c=gloo,1000000000
#1000000000,512,0,13959.26135359332,a=initial u=0.9 c=gloo,1000000000
#1000000000,512,1,19409.43012526259,a=initial u=0.9 c=gloo,1000000000
#1000000000,512,2,26045.490817166865,a=initial u=0.9 c=gloo,1000000000
1000000000,512,3,4381.415803451091,a=initial u=0.9 c=gloo,1000000000
1000000000,2,0,158608.40463638306,a=regular u=0.9 c=mpi,1000000000
1000000000,2,1,166016.87061786652,a=regular u=0.9 c=mpi,1000000000
1000000000,2,2,171068.96591186523,a=regular u=0.9 c=mpi,1000000000
1000000000,2,3,172829.76973056793,a=regular u=0.9 c=mpi,1000000000
1000000000,2,0,160864.83144760132,a=regular u=0.9 c=gloo,1000000000
1000000000,2,1,168090.98064899445,a=regular u=0.9 c=gloo,1000000000
1000000000,2,2,174910.02464294434,a=regular u=0.9 c=gloo,1000000000
1000000000,2,3,175243.2198524475,a=regular u=0.9 c=gloo,1000000000
1000000000,4,0,81002.7945637703,a=regular u=0.9 c=mpi,1000000000
1000000000,4,1,83875.91969966888,a=regular u=0.9 c=mpi,1000000000
1000000000,4,2,86223.53893518448,a=regular u=0.9 c=mpi,1000000000
