rows,world,it,time
# 1000000000,512,0,8654.161214828491
# 1000000000,512,1,13290.273666381836
# 1000000000,512,0,11820.817470550537
# 1000000000,512,1,10413.602352142334
# 1000000000,512,2,9004.539728164673
# 1000000000,512,3,8474.061012268066
# 1000000000,512,4,8586.021900177002
# 1000000000,512,5,6843.103408813477
# 1000000000,512,6,7229.142427444458
# 1000000000,512,7,8285.10332107544
# 1000000000,512,8,6799.878120422363
# 1000000000,512,9,4773.807048797607
# 1000000000,256,0,13429.87036705017
# 1000000000,256,1,6537.15443611145
# 1000000000,256,2,5457.358598709106
# 1000000000,256,3,5377.680778503418
# 1000000000,256,4,4852.152585983276
# 1000000000,256,5,9400.615453720093
# 1000000000,256,6,18737.650632858276
# 1000000000,256,7,9789.973497390747
# 1000000000,256,8,7308.71844291687
# 1000000000,256,9,7725.111484527588
# 1000000000,128,0,13756.438255310059
# 1000000000,128,1,9867.509841918945
# 1000000000,128,2,11281.69870376587
# 1000000000,128,3,12683.983564376831
# 1000000000,128,4,12436.55252456665
# 1000000000,128,5,11364.829301834106
# 1000000000,128,6,13980.413913726807
# 1000000000,128,7,11502.99596786499
# 1000000000,128,8,8949.193477630615
# 1000000000,128,9,11874.875545501709
# 1000000000,64,0,21939.059257507324
# 1000000000,64,1,15190.128564834595
# 1000000000,64,2,17387.064933776855
# 1000000000,64,3,17644.098043441772
# 1000000000,64,4,16532.886743545532
# 1000000000,64,5,14613.96074295044
# 1000000000,64,6,17238.410472869873
# 1000000000,64,7,16587.912559509277
# 1000000000,64,8,16920.724868774414
# 1000000000,64,9,16919.923067092896
# 1000000000,32,0,27632.997751235962
# 1000000000,32,1,27387.070417404175
# 1000000000,32,2,26616.09387397766
# 1000000000,32,3,27024.6639251709
# 1000000000,32,4,28264.875173568726
# 1000000000,32,5,25779.037952423096
# 1000000000,32,6,27611.082553863525
# 1000000000,32,7,26431.24747276306
# 1000000000,32,8,26448.92716407776
# 1000000000,32,9,27247.811317443848
# 1000000000,16,0,46774.43432807922
# 1000000000,16,1,45246.36960029602
# 1000000000,16,2,47494.06456947327
# 1000000000,16,3,47434.75270271301
# 1000000000,16,4,48324.106216430664
# 1000000000,16,5,46586.90404891968
# 1000000000,16,6,46218.80912780762
# 1000000000,16,7,46803.56812477112
# 1000000000,16,8,47962.53752708435
# 1000000000,16,9,46674.75771903992
# 1000000000,8,0,89757.4098110199
# 1000000000,8,1,86725.38185119629
# 1000000000,8,2,86775.5389213562
