rows,world,it,time
#10000,256,0,3164.4420623779297
#10000,256,1,823.6446380615234
#10000,256,2,422.3933219909668
#10000,256,3,520.5457210540771
#10000,256,4,278.1336307525635
#10000,256,5,739.0663623809814
#10000,256,6,673.3071804046631
#10000,256,7,503.8104057312012
#10000,512,0,3605.1011085510254
#10000,512,1,2704.0891647338867
#10000,512,2,748.6245632171631
#10000,512,3,730.6554317474365
#10000,512,4,656.9452285766602
#10000,512,5,787.9190444946289
#10000,512,6,345.0191020965576
#10000,512,7,297.499418258667
#10000000,256,0,6236.433267593384
#10000000,256,1,3311.9006156921387
#10000000,256,2,3590.6002521514893
#10000000,256,3,3539.7863388061523
#10000000,256,4,3017.8937911987305
#10000000,256,5,3271.8722820281982
#10000000,256,6,2278.381824493408
#10000000,256,7,3153.0559062957764
#10000000,512,0,11399.752616882324
#10000000,512,1,6080.605506896973
#10000000,512,2,5920.259714126587
#10000000,512,3,5473.105907440186
#10000000,512,4,5042.861223220825
#10000000,512,5,4174.993991851807
#10000000,512,6,3490.6082153320312
#10000000,512,7,2313.469409942627
#10000000,256,0,6655.246734619141
#10000000,256,1,3440.925121307373
#10000000,256,2,3367.436408996582
#10000000,256,3,3890.7392024993896
#10000000,256,4,3887.6874446868896
#10000000,256,5,3415.4300689697266
#10000000,256,6,3212.656259536743
#10000000,256,7,3157.5398445129395
#10000000,512,0,7483.874082565308
#10000000,512,1,6008.5906982421875
#10000000,512,2,6293.4699058532715
#10000000,512,3,6715.587139129639
#10000000,512,4,4450.8984088897705
#10000000,512,5,5606.623411178589
#10000000,512,6,6370.938777923584
#10000000,512,7,4898.396730422974
#1000000,256,0,6240.534782409668
#1000000,256,1,1556.9360256195068
#1000000,256,2,1587.5461101531982
#1000000,256,3,1395.9410190582275
#1000000,256,4,1310.014009475708
#1000000,256,5,1120.701551437378
#1000000,256,6,1129.6863555908203
#1000000,256,7,1248.875379562378
#100000000,256,0,72466.78423881531
#100000000,256,1,7679.750680923462
#100000000,256,2,10741.471290588379
#100000000,256,3,7225.178480148315
#100000000,256,4,8890.528440475464
#100000000,256,5,9279.362916946411
#100000000,256,6,7172.492980957031
#100000000,256,7,8636.21211051941
#100000000,1,0,199860.86702346802
#100000000,1,1,50939.40591812134
#100000000,1,2,47557.84368515015
#100000000,1,3,46555.0103187561
#100000000,1,4,46191.03240966797
#100000000,1,5,46778.921604156494
#100000000,1,6,46503.32736968994
#100000000,1,7,46160.53366661072
#100000000,1,0,196677.73628234863
#100000000,1,1,183798.96330833435
#100000000,1,2,183883.02612304688
#100000000,1,3,179414.88599777222
#100000000,1,4,181568.99547576904
#100000000,1,5,202770.08271217346
#100000000,1,6,177834.06519889832
#100000000,1,7,182329.6196460724
#100000000,1,8,202477.72693634033
#100000000,1,9,192896.30579948425
#100000000,2,0,184919.30770874023
#100000000,2,1,189051.6107082367
#100000000,2,2,180648.71954917908
#100000000,2,3,184383.40306282043
#100000000,2,4,178877.44307518005
#100000000,2,5,173591.0861492157
#100000000,2,6,174788.73085975647
#100000000,2,7,185401.0715484619
#100000000,2,8,178546.28896713257
#100000000,2,9,184648.87189865112
#100000000,4,0,94686.65528297424
#100000000,4,1,96549.91912841797
#100000000,4,2,97676.105260849
#100000000,4,3,93018.40209960938
#100000000,4,4,98072.87573814392
#100000000,4,5,95276.43728256226
#100000000,4,6,97066.10083580017
#100000000,4,7,96432.93929100037
#100000000,4,8,92573.9951133728
#100000000,4,9,97597.0458984375
#100000000,8,0,74431.61797523499
#100000000,8,1,49068.50051879883
#100000000,8,2,49257.383584976196
#100000000,8,3,48434.96870994568
#100000000,8,4,52257.04503059387
#100000000,8,5,51287.21618652344
#100000000,8,6,49563.32182884216
#100000000,8,7,48686.4652633667
#100000000,8,8,49529.343605041504
#100000000,8,9,50450.51693916321
#100000000,16,0,62760.629653930664
