rows,world,it,time
1000000,32,0,2825.758457183838
1000000,32,1,149.90758895874023
1000000,64,0,185.17661094665527
1000000,64,1,213.06324005126953
1000000,32,0,614.1088008880615
1000000,32,1,240.73195457458496
1000000,64,0,270.05696296691895
1000000,64,1,272.3097801208496
1000000000,1,0,4465.460777282715
1000000000,1,1,4195.489168167114
1000000000,1,2,4153.188705444336
1000000000,1,3,4100.464344024658
1000000000,1,4,4089.1482830047607
1000000000,1,5,4072.354316711426
1000000000,1,6,4074.331045150757
1000000000,1,7,4065.936326980591
1000000000,1,8,4109.6484661102295
1000000000,1,9,4079.4122219085693
1000000000,2,0,1356.6854000091553
1000000000,2,1,1487.1602058410645
1000000000,2,2,1479.691743850708
1000000000,2,3,1482.3691844940186
1000000000,2,4,1488.1203174591064
1000000000,2,5,1504.9755573272705
1000000000,2,6,1480.6292057037354
1000000000,2,7,1476.6273498535156
1000000000,2,8,1484.1082096099854
1000000000,2,9,1491.7402267456055
1000000000,4,0,800.884485244751
1000000000,4,1,792.8199768066406
1000000000,4,2,910.0706577301025
1000000000,4,3,868.9758777618408
1000000000,4,4,780.0698280334473
1000000000,4,5,776.6039371490479
1000000000,4,6,777.2281169891357
1000000000,4,7,775.5923271179199
1000000000,4,8,811.5651607513428
1000000000,4,9,805.7355880737305
1000000000,8,0,523.3786106109619
1000000000,8,1,500.83065032958984
1000000000,8,2,484.03429985046387
1000000000,8,3,419.7518825531006
1000000000,8,4,497.05982208251953
1000000000,8,5,420.05181312561035
1000000000,8,6,413.93351554870605
1000000000,8,7,418.05505752563477
1000000000,8,8,499.173641204834
1000000000,8,9,420.53842544555664
1000000000,16,0,373.67963790893555
1000000000,16,1,350.0654697418213
1000000000,16,2,268.56088638305664
1000000000,16,3,350.2974510192871
1000000000,16,4,355.5307388305664
1000000000,16,5,267.37356185913086
1000000000,16,6,344.9561595916748
1000000000,16,7,360.59117317199707
1000000000,16,8,359.0543270111084
1000000000,16,9,353.10864448547363
1000000000,32,0,310.64653396606445
1000000000,32,1,217.50497817993164
1000000000,32,2,190.37389755249023
1000000000,32,3,281.07166290283203
1000000000,32,4,188.34877014160156
1000000000,32,5,271.0857391357422
1000000000,32,6,187.91508674621582
1000000000,32,7,274.51443672180176
1000000000,32,8,268.03088188171387
1000000000,32,9,185.96911430358887
1000000000,64,0,322.7207660675049
1000000000,64,1,297.5318431854248
1000000000,64,2,162.9791259765625
1000000000,64,3,251.53660774230957
1000000000,64,4,276.72576904296875
1000000000,64,5,148.18859100341797
1000000000,64,6,305.68432807922363
1000000000,64,7,214.9195671081543
1000000000,64,8,138.86690139770508
1000000000,64,9,133.15057754516602
1000000000,128,0,208.57644081115723
#1000000000,128,1,1596.7779159545898
1000000000,128,2,122.91455268859863
1000000000,128,3,193.1436061859131
#1000000000,128,4,2542.8850650787354
#1000000000,128,5,1247.3728656768799
1000000000,128,6,209.98477935791016
1000000000,128,7,180.4635524749756
1000000000,128,8,270.4501152038574
1000000000,128,9,180.95993995666504
1000000000,256,0,365.97132682800293
1000000000,256,1,515.1538848876953
1000000000,256,2,282.8795909881592
1000000000,256,3,264.11914825439453
1000000000,256,4,300.77409744262695
1000000000,256,5,143.7385082244873
1000000000,256,6,143.93091201782227
1000000000,256,7,242.07019805908203
1000000000,256,8,175.94575881958008
1000000000,256,9,266.83950424194336
#1000000000,512,0,2073.920965194702
#1000000000,512,1,1241.3785457611084
#1000000000,512,2,4581.10499382019
#1000000000,512,3,3285.587787628174
1000000000,512,4,399.94335174560547
1000000000,512,5,298.84839057922363
1000000000,512,6,328.0682563781738
1000000000,512,7,315.9976005554199
1000000000,512,8,486.1464500427246
1000000000,512,9,384.5334053039551

