rows,world,it,time
1000000,8,0,379.18734550476074
1000000,16,0,196.07949256896973
1000000,8,0,272.6163864135742
1000000,8,1,228.88779640197754
1000000,8,2,120.56970596313477
1000000,8,3,114.47739601135254
1000000,8,4,107.0563793182373
1000000,8,5,115.02504348754883
1000000,8,6,92.09346771240234
1000000,8,7,92.12160110473633
1000000,8,8,91.23468399047852
1000000,8,9,87.21923828125
1000000,16,0,200.20389556884766
1000000,16,1,164.3657684326172
1000000,16,2,115.6306266784668
1000000,16,3,127.69222259521484
1000000,16,4,102.3716926574707
1000000,16,5,218.02377700805664
1000000,16,6,109.17901992797852
1000000,16,7,97.23949432373047
1000000,16,8,92.16046333312988
1000000,16,9,91.76087379455566
1000000,8,0,261.46697998046875
1000000,8,1,206.59828186035156
1000000,8,2,204.61392402648926
1000000,8,3,113.77382278442383
1000000,8,4,100.05593299865723
1000000,8,5,106.88972473144531
1000000,8,6,98.89936447143555
1000000,8,7,91.60661697387695
1000000,8,8,83.99152755737305
1000000,8,9,84.27739143371582
1000000,16,0,189.55111503601074
1000000,16,1,121.24204635620117
1000000,16,2,111.82713508605957
1000000,16,3,256.5155029296875
1000000,16,4,103.50728034973145
1000000,16,5,104.69412803649902
1000000,16,6,96.01354598999023
1000000,16,7,92.87691116333008
1000000,16,8,177.64639854431152
1000000,16,9,89.94722366333008
1000000000,1,0,23717.74411201477
1000000000,1,1,23083.55188369751
1000000000,1,2,22221.776485443115
1000000000,1,3,23980.642080307007
1000000000,1,4,22726.149320602417
1000000000,1,5,24504.536867141724
1000000000,1,6,22274.476766586304
1000000000,1,7,22571.747303009033
1000000000,1,8,25366.596698760986
1000000000,1,9,22396.37017250061
1000000000,2,0,12000.38480758667
1000000000,2,1,11451.541185379028
1000000000,2,2,11308.345079421997
1000000000,2,3,11904.407978057861
1000000000,2,4,11382.868766784668
1000000000,2,5,11194.707870483398
1000000000,2,6,11226.963758468628
1000000000,2,7,11142.35806465149
1000000000,2,8,11161.63158416748
1000000000,2,9,11142.271757125854
1000000000,4,0,6470.645904541016
1000000000,4,1,6040.736436843872
1000000000,4,2,5858.191251754761
1000000000,4,3,5749.9048709869385
1000000000,4,4,6024.168252944946
1000000000,4,5,6118.578910827637
1000000000,4,6,5878.81326675415
1000000000,4,7,5968.770265579224
1000000000,4,8,6358.572244644165
1000000000,4,9,5642.573833465576
1000000000,8,0,3253.328323364258
1000000000,8,1,3154.749870300293
1000000000,8,2,3245.3179359436035
1000000000,8,3,2997.4658489227295
1000000000,8,4,2972.3737239837646
1000000000,8,5,2964.780807495117
1000000000,8,6,2908.69140625
1000000000,8,7,3118.3152198791504
1000000000,8,8,2992.7966594696045
1000000000,8,9,2878.74698638916
1000000000,16,0,1740.0972843170166
1000000000,16,1,1729.9854755401611
1000000000,16,2,1587.4431133270264
1000000000,16,3,1665.8918857574463
1000000000,16,4,1620.725154876709
1000000000,16,5,1549.8199462890625
1000000000,16,6,1621.4933395385742
1000000000,16,7,1675.2374172210693
1000000000,16,8,1527.1947383880615
1000000000,16,9,1612.9248142242432
1000000000,32,0,1058.6414337158203
1000000000,32,1,1033.1099033355713
1000000000,32,2,1037.593126296997
1000000000,32,3,2663.909673690796
1000000000,32,4,970.0684547424316
1000000000,32,5,1074.2735862731934
1000000000,32,6,1077.0976543426514
1000000000,32,7,851.0086536407471
1000000000,32,8,868.8075542449951
1000000000,32,9,876.1227130889893
1000000000,64,0,663.6004447937012
1000000000,64,1,562.7565383911133
1000000000,64,2,572.1557140350342
1000000000,64,3,1221.827745437622
1000000000,64,4,573.692798614502
1000000000,64,5,495.91827392578125
1000000000,64,6,474.05552864074707
1000000000,64,7,561.1014366149902
1000000000,64,8,515.4623985290527
1000000000,64,9,746.1409568786621
1000000000,128,0,581.5334320068359
1000000000,128,1,483.809232711792
1000000000,128,2,311.9385242462158
1000000000,128,3,423.142671585083
1000000000,128,4,461.376428604126
1000000000,128,5,2529.4270515441895
1000000000,128,6,827.2223472595215
1000000000,128,7,385.03146171569824
1000000000,128,8,281.42642974853516
1000000000,128,9,297.09863662719727
1000000000,256,0,529.7739505767822
1000000000,256,1,3009.3579292297363
1000000000,256,2,381.392240524292
1000000000,256,3,685.3294372558594
1000000000,256,4,7176.663160324097
1000000000,256,5,257.6470375061035
1000000000,256,6,356.11939430236816
1000000000,256,7,2199.7756958007812
1000000000,256,8,356.2512397766113
1000000000,256,9,248.41833114624023
1000000000,512,0,719.8565006256104
1000000000,512,1,751.6465187072754
1000000000,512,2,601.660966873169
1000000000,512,3,305.6139945983887
1000000000,512,4,520.4436779022217
1000000000,512,5,337.66889572143555
1000000000,512,6,475.63838958740234
1000000000,512,7,583.8792324066162
1000000000,512,8,559.4689846038818
1000000000,512,9,5432.309150695801
