rows,world,it,time
1000000000,512,0,15474.72333908081
1000000000,512,1,16685.044765472412
1000000000,512,2,17382.123947143555
1000000000,512,3,20237.627267837524
1000000000,512,4,15639.428853988647
1000000000,512,5,14171.784162521362
1000000000,256,0,14696.871042251587
1000000000,256,1,10332.020282745361
1000000000,256,2,13181.66470527649
1000000000,256,3,14532.522678375244
1000000000,256,4,12140.679836273193
1000000000,256,5,14970.938682556152
1000000000,128,0,19597.875595092773
1000000000,128,1,24139.45770263672
1000000000,128,2,15899.601936340332
1000000000,128,3,14329.365968704224
1000000000,128,4,17762.23635673523
1000000000,128,5,17261.748790740967
1000000000,64,0,24345.120668411255
1000000000,64,1,24693.222999572754
1000000000,64,2,24933.37345123291
1000000000,64,3,23935.940265655518
1000000000,64,4,22396.887063980103
1000000000,64,5,22212.921380996704
1000000000,32,0,42022.59111404419
1000000000,32,1,40520.77031135559
1000000000,32,2,38609.904289245605
1000000000,32,3,40155.11608123779
1000000000,32,4,40697.47233390808
1000000000,32,5,40644.73032951355
1000000000,8,0,156196.4521408081
1000000000,8,1,150555.53817749023
1000000000,8,2,158104.6977043152
1000000000,8,3,145330.970287323
1000000000,8,4,143319.78511810303
1000000000,8,5,140275.9702205658
1000000000,4,0,285202.4493217468
1000000000,4,1,278213.0718231201
1000000000,4,2,269627.15697288513
1000000000,4,3,273260.3838443756
1000000000,4,4,260663.9428138733
1000000000,4,5,257045.04108428955
1000000000,2,0,589289.5514965057
1000000000,2,1,602346.8835353851
1000000000,2,2,579061.7113113403
1000000000,2,3,575871.9127178192
1000000000,2,4,579636.8126869202
1000000000,2,5,588528.1867980957
1000000000,1,0,1245332.837820053
1000000000,1,1,1227007.4169635773
1000000000,1,2,1162395.7891464233
1000000000,1,3,1201376.282453537
1000000000,1,4,1196584.6140384674
1000000000,1,5,1211699.1384029388
1000000000,16,0,75263.66114616394
1000000000,16,1,74037.70184516907
1000000000,16,2,71355.73649406433
1000000000,16,3,70535.32862663269


100000000,1,0,86720.8604812622
100000000,1,1,93843.28436851501
100000000,1,2,90288.60640525818
100000000,1,3,90174.72553253174
100000000,1,4,88090.5613899231
100000000,1,5,81468.85848045349
100000000,2,0,60627.96688079834
100000000,2,1,54178.131341934204
100000000,2,2,51591.548204422
100000000,2,3,50671.37908935547
100000000,2,4,52035.764932632446
100000000,2,5,51005.46216964722
100000000,4,0,28005.1429271698
100000000,4,1,27099.626302719116
100000000,4,2,27281.872272491455
100000000,4,3,25670.933485031128
100000000,4,4,25667.791604995728
100000000,4,5,25792.885303497314
100000000,8,0,14821.46668434143
100000000,8,1,13984.949111938477
100000000,8,2,13374.51434135437
100000000,8,3,13212.132692337036
100000000,8,4,13406.198263168335
100000000,8,5,13648.916721343994
100000000,16,0,32489.301681518555
100000000,16,1,32331.275701522827
100000000,16,2,30047.44863510132
100000000,16,3,30369.245529174805
100000000,16,4,30589.007139205933
100000000,16,5,32188.045501708984
100000000,32,0,6770.378828048706
100000000,32,1,5802.979946136475
100000000,32,2,6025.122165679932
100000000,32,3,6001.99818611145
100000000,32,4,7444.463491439819
100000000,32,5,5973.057746887207
100000000,64,0,3812.924861907959
100000000,64,1,3780.022144317627
100000000,64,2,2791.0923957824707
100000000,64,3,3006.3092708587646
100000000,64,4,2889.679431915283
100000000,64,5,2999.847650527954
100000000,128,0,3287.684917449951
100000000,128,1,2669.00634765625
100000000,128,2,2222.0911979675293
100000000,128,3,1909.501314163208
100000000,128,4,2075.052499771118
100000000,128,5,2072.7791786193848
100000000,256,0,3838.5279178619385
100000000,256,1,3400.6283283233643
100000000,256,2,2035.498857498169
100000000,256,3,2087.830066680908
100000000,256,4,1813.9853477478027
100000000,256,5,2299.894332885742
100000000,512,0,13324.141025543213
#100000000,512,1,15250.131607055664
100000000,512,2,13081.712245941162
100000000,512,3,11886.13748550415
100000000,512,4,12945.26219367981
100000000,512,5,13254.92525100708
