Parallelism,Stage,time(ms),Comm
32,shuffle_l,220,mpi
32,shuffle_r,235,mpi
32,shuffle_t,456,mpi
32,join,1396,mpi
32,shuffle_l,144,mpi
32,shuffle_r,132,mpi
32,shuffle_t,276,mpi
32,join,1438,mpi
32,shuffle_l,150,mpi
32,shuffle_r,129,mpi
32,shuffle_t,280,mpi
32,join,1472,mpi
32,shuffle_l,168,mpi
32,shuffle_r,180,mpi
32,shuffle_t,349,mpi
32,join,1529,mpi
32,shuffle_l,161,mpi
32,shuffle_r,144,mpi
32,shuffle_t,306,mpi
32,join,1529,mpi
32,shuffle_l,159,mpi
32,shuffle_r,134,mpi
32,shuffle_t,294,mpi
32,join,1493,mpi
64,shuffle_l,349,mpi
64,shuffle_r,286,mpi
64,shuffle_t,635,mpi
64,join,1483,mpi
64,shuffle_l,319,mpi
64,shuffle_r,265,mpi
64,shuffle_t,585,mpi
64,join,1510,mpi
64,shuffle_l,292,mpi
64,shuffle_r,265,mpi
64,shuffle_t,557,mpi
64,join,1498,mpi
64,shuffle_l,344,mpi
64,shuffle_r,287,mpi
64,shuffle_t,632,mpi
64,join,1536,mpi
64,shuffle_l,312,mpi
64,shuffle_r,342,mpi
64,shuffle_t,655,mpi
64,join,1519,mpi
64,shuffle_l,323,mpi
64,shuffle_r,315,mpi
64,shuffle_t,638,mpi
64,join,1593,mpi
128,shuffle_l,471,mpi
128,shuffle_r,413,mpi
128,shuffle_t,885,mpi
128,join,1547,mpi
128,shuffle_l,582,mpi
128,shuffle_r,465,mpi
128,shuffle_t,1048,mpi
128,join,1514,mpi
128,shuffle_l,617,mpi
128,shuffle_r,590,mpi
128,shuffle_t,1207,mpi
128,join,1569,mpi
128,shuffle_l,539,mpi
128,shuffle_r,635,mpi
128,shuffle_t,1175,mpi
128,join,1567,mpi
128,shuffle_l,557,mpi
128,shuffle_r,602,mpi
128,shuffle_t,1160,mpi
128,join,1570,mpi
128,shuffle_l,546,mpi
128,shuffle_r,605,mpi
128,shuffle_t,1152,mpi
128,join,1534,mpi
256,shuffle_l,812,mpi
256,shuffle_r,1095,mpi
256,shuffle_t,1908,mpi
256,join,1599,mpi
256,shuffle_l,1503,mpi
256,shuffle_r,1384,mpi
256,shuffle_t,2888,mpi
256,join,1594,mpi
256,shuffle_l,1546,mpi
256,shuffle_r,1343,mpi
256,shuffle_t,2890,mpi
256,join,1557,mpi
256,shuffle_l,1499,mpi
256,shuffle_r,1384,mpi
256,shuffle_t,2883,mpi
256,join,1560,mpi
256,shuffle_l,1407,mpi
256,shuffle_r,1323,mpi
256,shuffle_t,2730,mpi
256,join,1572,mpi
256,shuffle_l,1407,mpi
256,shuffle_r,1250,mpi
256,shuffle_t,2657,mpi
256,join,1618,mpi
512,shuffle_l,2034,mpi
512,shuffle_r,4155,mpi
512,shuffle_t,6190,mpi
512,join,1950,mpi
512,shuffle_l,3865,mpi
512,shuffle_r,4003,mpi
512,shuffle_t,7868,mpi
512,join,1877,mpi
512,shuffle_l,3858,mpi
512,shuffle_r,3993,mpi
512,shuffle_t,7852,mpi
512,join,1870,mpi
512,shuffle_l,3946,mpi
512,shuffle_r,3662,mpi
512,shuffle_t,7608,mpi
512,join,1896,mpi
512,shuffle_l,3767,mpi
512,shuffle_r,3607,mpi
512,shuffle_t,7375,mpi
512,join,1911,mpi
512,shuffle_l,3993,mpi
512,shuffle_r,3343,mpi
512,shuffle_t,7337,mpi
512,join,1952,mpi
32,shuffle_l,724,gloo
32,shuffle_r,747,gloo
32,shuffle_t,1471,gloo
32,join,1460,gloo
32,shuffle_l,689,gloo
32,shuffle_r,605,gloo
32,shuffle_t,1294,gloo
32,join,1503,gloo
32,shuffle_l,715,gloo
32,shuffle_r,768,gloo
32,shuffle_t,1484,gloo
32,join,1485,gloo
32,shuffle_l,1768,gloo
32,shuffle_r,533,gloo
32,shuffle_t,2301,gloo
32,join,1494,gloo
32,shuffle_l,595,gloo
32,shuffle_r,1027,gloo
32,shuffle_t,1622,gloo
32,join,1524,gloo
32,shuffle_l,666,gloo
32,shuffle_r,654,gloo
32,shuffle_t,1321,gloo
32,join,1485,gloo
64,shuffle_l,1174,gloo
64,shuffle_r,789,gloo
64,shuffle_t,1963,gloo
64,join,1539,gloo
64,shuffle_l,1051,gloo
64,shuffle_r,792,gloo
64,shuffle_t,1844,gloo
64,join,1553,gloo
64,shuffle_l,988,gloo
64,shuffle_r,926,gloo
64,shuffle_t,1914,gloo
64,join,1559,gloo
64,shuffle_l,979,gloo
64,shuffle_r,693,gloo
64,shuffle_t,1672,gloo
64,join,1565,gloo
64,shuffle_l,881,gloo
64,shuffle_r,900,gloo
64,shuffle_t,1781,gloo
64,join,1493,gloo
64,shuffle_l,930,gloo
64,shuffle_r,1294,gloo
64,shuffle_t,2225,gloo
64,join,1555,gloo
128,shuffle_l,1442,gloo
128,shuffle_r,1339,gloo
128,shuffle_t,2782,gloo
128,join,1514,gloo
128,shuffle_l,2147,gloo
128,shuffle_r,767,gloo
128,shuffle_t,2915,gloo
128,join,1515,gloo
128,shuffle_l,1031,gloo
128,shuffle_r,1855,gloo
128,shuffle_t,2887,gloo
128,join,1567,gloo
128,shuffle_l,1032,gloo
128,shuffle_r,1630,gloo
128,shuffle_t,2663,gloo
128,join,1575,gloo
128,shuffle_l,1619,gloo
128,shuffle_r,975,gloo
128,shuffle_t,2595,gloo
128,join,1563,gloo
128,shuffle_l,1223,gloo
128,shuffle_r,2535,gloo
128,shuffle_t,3759,gloo
128,join,1589,gloo
256,shuffle_l,1870,gloo
256,shuffle_r,3096,gloo
256,shuffle_t,4966,gloo
256,join,1554,gloo
256,shuffle_l,2864,gloo
256,shuffle_r,1850,gloo
256,shuffle_t,4714,gloo
256,join,1629,gloo
256,shuffle_l,2353,gloo
256,shuffle_r,1988,gloo
256,shuffle_t,4341,gloo
256,join,1565,gloo
256,shuffle_l,1577,gloo
256,shuffle_r,2334,gloo
256,shuffle_t,3912,gloo
256,join,1592,gloo
256,shuffle_l,1966,gloo
256,shuffle_r,1949,gloo
256,shuffle_t,3915,gloo
256,join,1588,gloo
256,shuffle_l,2532,gloo
256,shuffle_r,1613,gloo
256,shuffle_t,4145,gloo
256,join,1595,gloo
512,shuffle_l,3517,gloo
512,shuffle_r,5304,gloo
512,shuffle_t,8821,gloo
512,join,1878,gloo
512,shuffle_l,3242,gloo
512,shuffle_r,5283,gloo
512,shuffle_t,8526,gloo
512,join,1943,gloo
512,shuffle_l,5087,gloo
512,shuffle_r,3235,gloo
512,shuffle_t,8323,gloo
512,join,1889,gloo
32,shuffle_l,175,ucx
32,shuffle_r,156,ucx
32,shuffle_t,332,ucx
32,join,1465,ucx
32,shuffle_l,132,ucx
32,shuffle_r,131,ucx
32,shuffle_t,264,ucx
32,join,1469,ucx
32,shuffle_l,131,ucx
32,shuffle_r,131,ucx
32,shuffle_t,263,ucx
32,join,1475,ucx
32,shuffle_l,134,ucx
32,shuffle_r,135,ucx
32,shuffle_t,269,ucx
32,join,1467,ucx
32,shuffle_l,155,ucx
32,shuffle_r,193,ucx
32,shuffle_t,348,ucx
32,join,1459,ucx
32,shuffle_l,137,ucx
32,shuffle_r,175,ucx
32,shuffle_t,313,ucx
32,join,1488,ucx
64,shuffle_l,288,ucx
64,shuffle_r,270,ucx
64,shuffle_t,558,ucx
64,join,1455,ucx
64,shuffle_l,262,ucx
64,shuffle_r,254,ucx
64,shuffle_t,516,ucx
64,join,1512,ucx
64,shuffle_l,259,ucx
64,shuffle_r,255,ucx
64,shuffle_t,515,ucx
64,join,1483,ucx
64,shuffle_l,257,ucx
64,shuffle_r,254,ucx
64,shuffle_t,511,ucx
64,join,1515,ucx
64,shuffle_l,258,ucx
64,shuffle_r,262,ucx
64,shuffle_t,521,ucx
64,join,1498,ucx
64,shuffle_l,260,ucx
64,shuffle_r,256,ucx
64,shuffle_t,517,ucx
64,join,1505,ucx
128,shuffle_l,390,ucx
128,shuffle_r,401,ucx
128,shuffle_t,792,ucx
128,join,1562,ucx
128,shuffle_l,406,ucx
128,shuffle_r,411,ucx
128,shuffle_t,817,ucx
128,join,1564,ucx
128,shuffle_l,414,ucx
128,shuffle_r,427,ucx
128,shuffle_t,842,ucx
128,join,1571,ucx
128,shuffle_l,418,ucx
128,shuffle_r,456,ucx
128,shuffle_t,874,ucx
128,join,1572,ucx
128,shuffle_l,438,ucx
128,shuffle_r,418,ucx
128,shuffle_t,856,ucx
128,join,1563,ucx
256,join,1551,ucx
256,shuffle_l,768,ucx
256,shuffle_r,883,ucx
256,shuffle_t,1652,ucx
256,join,1567,ucx
256,shuffle_l,821,ucx
256,shuffle_r,926,ucx
256,shuffle_t,1747,ucx
256,join,1603,ucx
256,shuffle_l,837,ucx
256,shuffle_r,952,ucx
256,shuffle_t,1789,ucx
256,join,1562,ucx
256,shuffle_l,912,ucx
256,shuffle_r,936,ucx
256,shuffle_t,1848,ucx
256,join,1605,ucx
256,shuffle_l,915,ucx
256,shuffle_r,916,ucx
256,shuffle_t,1831,ucx
256,join,1621,ucx
512,shuffle_l,2002,ucx
512,shuffle_r,2239,ucx
512,shuffle_t,4242,ucx
512,join,1976,ucx
512,shuffle_l,2309,ucx
512,shuffle_r,2402,ucx
512,shuffle_t,4711,ucx
512,join,1942,ucx
512,shuffle_l,2408,ucx
512,shuffle_r,2327,ucx
512,shuffle_t,4736,ucx
512,join,1910,ucx
512,shuffle_l,2386,ucx
512,shuffle_r,2376,ucx
512,shuffle_t,4763,ucx
512,join,1957,ucx
512,shuffle_l,2407,ucx
512,shuffle_r,2444,ucx
512,shuffle_t,4852,ucx
512,join,1998,ucx
